CSID,CaseMasterID,csdate,cstype,PolicePersonID
80,138,2023-12-17 00:00:00,A,1527
81,139,2024-01-23 00:00:00,B,1755
82,140,2023-11-24 00:00:00,A,1556
83,143,2023-11-07 00:00:00,A,655
84,144,2022-11-19 00:00:00,A,1036
85,145,2026-04-27 00:00:00,B,1939
86,146,2025-09-17 00:00:00,A,2079
87,147,2025-11-07 00:00:00,B,159
88,148,2024-02-14 00:00:00,A,438
89,149,2025-06-16 00:00:00,A,59
90,151,2026-03-31 00:00:00,A,617
91,152,2025-05-01 00:00:00,B,1469
92,156,2023-01-03 00:00:00,A,678
93,157,2025-03-25 00:00:00,B,1502
94,158,2024-10-03 00:00:00,B,1530
95,159,2026-06-28 00:00:00,A,1055
96,160,2026-04-04 00:00:00,A,955
97,162,2022-11-03 00:00:00,A,666
98,163,2024-02-29 00:00:00,A,2356
99,164,2023-07-05 00:00:00,B,521
100,165,2025-07-12 00:00:00,A,1893
101,167,2023-03-13 00:00:00,A,547
102,168,2025-09-02 00:00:00,A,1802
103,169,2024-05-23 00:00:00,A,509
104,170,2023-03-07 00:00:00,A,351
105,174,2023-07-01 00:00:00,C,725
106,178,2026-06-28 00:00:00,A,1377
107,179,2022-02-26 00:00:00,A,1587
108,180,2023-09-20 00:00:00,A,610
109,182,2026-06-28 00:00:00,B,806
110,184,2024-06-12 00:00:00,A,612
111,187,2024-02-13 00:00:00,A,906
112,188,2025-04-18 00:00:00,A,190
113,189,2023-09-26 00:00:00,A,583
114,190,2024-05-11 00:00:00,A,661
115,194,2025-08-22 00:00:00,B,2643
116,195,2026-05-18 00:00:00,B,675
117,198,2023-06-23 00:00:00,A,1366
118,200,2026-02-19 00:00:00,A,2273
119,202,2023-07-19 00:00:00,A,52
120,203,2026-06-28 00:00:00,B,1178
121,205,2024-09-21 00:00:00,A,1812
122,210,2025-03-16 00:00:00,B,1086
123,211,2024-07-08 00:00:00,A,1600
124,213,2023-10-02 00:00:00,B,866
125,214,2025-01-18 00:00:00,A,903
126,215,2026-06-28 00:00:00,B,1597
127,216,2023-10-28 00:00:00,C,2493
128,219,2025-01-14 00:00:00,A,441
129,221,2022-08-17 00:00:00,A,2247
130,224,2026-01-26 00:00:00,A,636
131,225,2026-06-28 00:00:00,A,2113
132,227,2023-08-29 00:00:00,A,2404
133,228,2022-06-07 00:00:00,A,2552
134,229,2026-06-28 00:00:00,A,2027
135,230,2024-04-28 00:00:00,A,183
136,231,2026-06-28 00:00:00,A,1423
137,232,2023-11-27 00:00:00,A,896
138,233,2024-05-11 00:00:00,A,2683
139,235,2024-04-21 00:00:00,A,710
140,236,2026-06-28 00:00:00,A,680
141,239,2023-08-02 00:00:00,A,1942
142,240,2024-06-16 00:00:00,A,2326
143,242,2025-05-04 00:00:00,A,347
144,244,2025-09-03 00:00:00,A,1456
145,249,2025-08-12 00:00:00,A,2154
146,252,2025-04-17 00:00:00,A,1067
147,254,2023-09-12 00:00:00,C,2108
148,256,2023-02-21 00:00:00,A,56
149,258,2026-05-09 00:00:00,A,906
150,259,2026-01-28 00:00:00,A,1758
151,261,2026-06-28 00:00:00,A,1381
152,262,2026-06-28 00:00:00,B,571
153,263,2022-12-15 00:00:00,A,867
154,264,2023-09-04 00:00:00,C,2217
155,270,2024-11-15 00:00:00,B,2686
156,271,2026-03-08 00:00:00,A,2156
157,273,2025-08-23 00:00:00,C,227
158,274,2025-05-21 00:00:00,A,1627
159,275,2023-12-19 00:00:00,A,1212
160,276,2026-02-13 00:00:00,A,153
161,277,2025-01-27 00:00:00,A,694
162,282,2026-06-28 00:00:00,B,1235
163,283,2026-06-28 00:00:00,A,2615
164,285,2023-01-24 00:00:00,C,994
165,286,2025-11-16 00:00:00,C,229
166,289,2024-11-07 00:00:00,B,2607
167,290,2025-10-23 00:00:00,A,875
168,291,2025-06-10 00:00:00,C,2681
169,293,2026-05-05 00:00:00,B,326
170,294,2022-09-07 00:00:00,B,943
171,296,2023-02-13 00:00:00,A,1714
172,299,2026-05-10 00:00:00,A,2639
173,300,2023-04-02 00:00:00,A,297
174,305,2025-11-11 00:00:00,B,2589
175,307,2025-12-16 00:00:00,B,193
176,308,2024-04-10 00:00:00,B,2302
177,309,2023-08-10 00:00:00,A,160
178,311,2026-06-28 00:00:00,A,666
179,312,2026-06-28 00:00:00,B,1894
180,314,2025-07-07 00:00:00,A,2411
181,315,2023-03-27 00:00:00,A,960
182,316,2026-06-28 00:00:00,A,1464
183,317,2026-06-28 00:00:00,A,118
184,318,2022-05-18 00:00:00,A,1948
185,322,2026-05-19 00:00:00,A,2278
186,323,2026-06-28 00:00:00,A,1291
187,324,2025-12-25 00:00:00,B,2595
188,325,2024-10-21 00:00:00,A,860
189,326,2025-06-08 00:00:00,A,1590
190,328,2024-06-21 00:00:00,B,1049
191,329,2025-09-22 00:00:00,A,2306
192,330,2024-03-07 00:00:00,B,870
193,331,2024-01-18 00:00:00,A,2474
194,332,2022-10-14 00:00:00,C,2283
195,333,2025-07-12 00:00:00,A,490
196,334,2022-03-30 00:00:00,A,697
197,336,2025-09-21 00:00:00,A,2678
198,338,2025-10-28 00:00:00,B,1493
199,339,2023-01-24 00:00:00,A,1573
200,343,2022-11-03 00:00:00,A,2472
201,346,2022-02-18 00:00:00,A,2447
202,347,2022-10-15 00:00:00,A,2238
203,349,2022-09-10 00:00:00,A,1787
204,350,2024-02-25 00:00:00,A,1152
205,351,2026-05-27 00:00:00,B,706
206,353,2023-07-25 00:00:00,C,919
207,356,2024-07-05 00:00:00,A,1782
208,357,2026-02-04 00:00:00,A,533
209,358,2024-11-15 00:00:00,C,624
210,360,2026-06-28 00:00:00,C,2436
211,361,2026-03-21 00:00:00,A,2231
212,363,2023-07-24 00:00:00,A,534
213,364,2022-12-11 00:00:00,A,314
214,365,2023-10-14 00:00:00,A,1070
215,366,2022-09-06 00:00:00,A,27
216,368,2024-07-31 00:00:00,A,1392
217,369,2026-05-07 00:00:00,C,1453
218,370,2024-12-12 00:00:00,B,355
219,374,2023-08-14 00:00:00,A,935
220,375,2025-07-05 00:00:00,C,1997
221,377,2022-09-20 00:00:00,C,2119
222,382,2026-06-28 00:00:00,A,1124
223,383,2025-02-23 00:00:00,A,1410
224,385,2022-12-03 00:00:00,A,2067
225,386,2024-07-13 00:00:00,A,1395
226,387,2026-06-07 00:00:00,A,1236
227,388,2022-07-13 00:00:00,B,2244
228,391,2023-10-21 00:00:00,A,253
229,394,2025-09-26 00:00:00,A,718
230,395,2024-06-26 00:00:00,C,344
231,396,2026-06-28 00:00:00,A,397
232,397,2022-09-26 00:00:00,C,689
233,399,2024-09-13 00:00:00,A,331
234,400,2026-06-28 00:00:00,A,663
235,402,2025-06-25 00:00:00,A,1469
236,405,2024-09-16 00:00:00,A,2332
237,407,2025-10-08 00:00:00,B,1822
238,408,2024-05-18 00:00:00,A,1565
239,409,2024-05-31 00:00:00,A,1687
240,410,2026-06-28 00:00:00,A,1697
241,411,2024-12-25 00:00:00,B,1075
242,412,2023-08-10 00:00:00,A,1575
243,413,2026-06-28 00:00:00,A,2518
244,414,2023-01-24 00:00:00,A,45
245,417,2026-05-06 00:00:00,A,1375
246,419,2022-06-29 00:00:00,C,659
247,420,2024-01-21 00:00:00,A,1450
248,421,2026-06-28 00:00:00,A,2307
249,422,2026-06-28 00:00:00,A,861
250,423,2023-09-08 00:00:00,C,1823
251,424,2022-12-27 00:00:00,A,2095
252,425,2024-04-09 00:00:00,A,689
253,427,2022-09-06 00:00:00,C,275
254,430,2024-07-21 00:00:00,A,767
255,432,2023-09-17 00:00:00,C,268
256,438,2024-11-30 00:00:00,A,1150
257,440,2025-11-16 00:00:00,A,421
258,441,2022-11-05 00:00:00,A,2688
259,442,2025-03-07 00:00:00,C,1406
260,443,2022-10-09 00:00:00,A,296
261,445,2022-12-02 00:00:00,A,696
262,446,2022-09-11 00:00:00,A,2633
263,449,2023-04-23 00:00:00,B,2336
264,451,2024-01-14 00:00:00,C,2133
265,452,2026-06-28 00:00:00,A,65
266,453,2025-03-05 00:00:00,A,451
267,454,2022-10-26 00:00:00,A,2453
268,456,2026-06-28 00:00:00,A,46
269,459,2026-04-19 00:00:00,C,2455
270,460,2026-04-27 00:00:00,A,528
271,462,2026-01-26 00:00:00,A,186
272,463,2023-01-14 00:00:00,A,1501
273,465,2025-05-25 00:00:00,A,2285
274,466,2026-04-25 00:00:00,A,94
275,470,2025-07-18 00:00:00,B,285
276,485,2022-07-01 00:00:00,A,2401
277,487,2025-04-01 00:00:00,A,194
278,488,2023-08-27 00:00:00,A,431
279,489,2025-04-24 00:00:00,B,282
280,491,2025-09-30 00:00:00,A,1357
281,492,2024-09-19 00:00:00,B,1899
282,495,2026-01-19 00:00:00,B,863
283,497,2023-09-17 00:00:00,A,2308
284,498,2023-05-04 00:00:00,A,2474
285,499,2023-01-23 00:00:00,A,2297
286,500,2026-04-24 00:00:00,A,2027
287,501,2024-08-04 00:00:00,A,300
288,506,2023-03-09 00:00:00,A,11
289,507,2023-01-22 00:00:00,A,630
290,508,2023-05-17 00:00:00,A,1375
291,509,2025-07-06 00:00:00,C,2047
292,510,2025-01-23 00:00:00,C,2298
293,512,2023-06-01 00:00:00,A,2481
294,513,2025-04-24 00:00:00,A,446
295,514,2025-05-25 00:00:00,A,2618
296,515,2023-09-29 00:00:00,A,1704
297,518,2026-06-28 00:00:00,A,421
298,519,2026-06-28 00:00:00,C,482
299,522,2026-03-16 00:00:00,B,206
300,525,2022-09-01 00:00:00,A,1602
301,526,2026-06-28 00:00:00,B,2283
302,528,2022-06-23 00:00:00,A,1537
303,530,2024-07-17 00:00:00,C,2658
304,532,2025-04-22 00:00:00,A,2685
305,533,2023-07-30 00:00:00,A,332
306,534,2023-06-21 00:00:00,A,302
307,535,2024-09-28 00:00:00,A,1540
308,536,2022-10-14 00:00:00,A,2432
309,541,2022-10-25 00:00:00,A,118
310,542,2024-07-05 00:00:00,A,650
311,547,2025-10-15 00:00:00,A,2662
312,548,2023-03-11 00:00:00,A,920
313,549,2022-09-05 00:00:00,A,1044
314,551,2026-06-28 00:00:00,A,353
315,553,2026-06-19 00:00:00,C,1653
316,554,2026-06-26 00:00:00,A,2180
317,555,2026-01-03 00:00:00,A,1365
318,561,2024-12-23 00:00:00,A,1696
319,562,2024-02-21 00:00:00,A,1267
320,563,2024-04-08 00:00:00,A,1499
321,565,2026-06-28 00:00:00,A,2234
322,567,2025-11-19 00:00:00,B,270
323,569,2026-03-04 00:00:00,A,860
324,570,2026-06-28 00:00:00,C,1738
325,571,2023-06-26 00:00:00,A,1510
326,573,2026-02-23 00:00:00,A,1202
327,580,2026-06-28 00:00:00,A,2467
328,581,2022-12-10 00:00:00,A,2320
329,584,2026-06-28 00:00:00,A,409
330,586,2026-01-23 00:00:00,A,1826
331,587,2026-06-13 00:00:00,A,2456
332,588,2024-12-10 00:00:00,A,1236
333,591,2024-12-22 00:00:00,B,1554
334,592,2023-02-16 00:00:00,B,322
335,594,2025-10-03 00:00:00,A,217
336,597,2026-01-05 00:00:00,A,515
337,599,2022-08-07 00:00:00,A,716
338,602,2025-05-26 00:00:00,B,1006
339,603,2025-02-15 00:00:00,A,2399
340,604,2025-07-18 00:00:00,A,2690
341,605,2023-11-24 00:00:00,A,2214
342,606,2023-10-01 00:00:00,A,38
343,607,2024-04-04 00:00:00,B,455
344,608,2026-06-28 00:00:00,A,1343
345,616,2026-03-28 00:00:00,A,327
346,617,2026-04-15 00:00:00,C,254
347,619,2022-08-13 00:00:00,A,1178
348,621,2026-05-04 00:00:00,A,2318
349,623,2023-02-17 00:00:00,C,1830
350,624,2026-01-08 00:00:00,A,2316
351,625,2026-06-28 00:00:00,A,361
352,626,2026-06-28 00:00:00,A,1166
353,628,2022-07-23 00:00:00,A,2348
354,630,2022-05-26 00:00:00,B,1693
355,631,2026-06-28 00:00:00,A,1847
356,632,2025-07-30 00:00:00,A,2651
357,634,2023-09-28 00:00:00,A,1982
358,638,2022-09-15 00:00:00,A,1696
359,639,2026-05-26 00:00:00,A,2164
360,640,2026-04-26 00:00:00,A,2082
361,642,2026-06-28 00:00:00,A,104
362,644,2022-08-12 00:00:00,A,533
363,645,2023-11-29 00:00:00,A,356
364,646,2024-12-21 00:00:00,A,206
365,647,2023-10-01 00:00:00,B,899
366,649,2023-09-01 00:00:00,A,2374
367,650,2025-01-02 00:00:00,A,2003
368,652,2023-04-10 00:00:00,C,845
369,653,2026-05-22 00:00:00,A,2682
370,655,2024-08-16 00:00:00,A,251
371,658,2022-08-25 00:00:00,A,2237
372,660,2022-06-14 00:00:00,A,2574
373,662,2025-07-10 00:00:00,C,420
374,664,2024-10-19 00:00:00,A,678
375,666,2022-10-15 00:00:00,B,1325
376,667,2024-01-03 00:00:00,A,2684
377,668,2023-12-28 00:00:00,B,1907
378,670,2025-08-24 00:00:00,A,2495
379,671,2024-10-09 00:00:00,A,2292
380,672,2025-11-09 00:00:00,B,2016
381,673,2024-11-10 00:00:00,A,1608
382,674,2025-03-19 00:00:00,A,506
383,676,2026-06-28 00:00:00,A,2428
384,679,2025-04-27 00:00:00,A,1807
385,680,2026-06-19 00:00:00,A,2628
386,683,2023-09-09 00:00:00,A,2696
387,685,2025-06-26 00:00:00,A,562
388,687,2025-12-16 00:00:00,A,280
389,688,2024-10-02 00:00:00,A,182
390,690,2026-05-25 00:00:00,C,687
391,691,2023-09-14 00:00:00,A,165
392,694,2023-06-08 00:00:00,B,1599
393,697,2023-12-24 00:00:00,A,1996
394,698,2024-07-10 00:00:00,A,2121
395,700,2024-02-24 00:00:00,A,665
396,702,2023-07-14 00:00:00,A,277
397,704,2024-08-30 00:00:00,A,1070
398,705,2022-09-03 00:00:00,B,192
399,708,2026-06-07 00:00:00,A,486
400,711,2026-04-18 00:00:00,B,1515
401,713,2024-10-29 00:00:00,A,1745
402,718,2026-03-23 00:00:00,A,1740
403,720,2022-05-27 00:00:00,C,2385
404,721,2025-02-04 00:00:00,A,2441
405,723,2023-12-01 00:00:00,A,2265
406,726,2026-06-28 00:00:00,A,326
407,728,2026-06-28 00:00:00,A,2183
408,730,2024-08-09 00:00:00,A,1553
409,731,2026-06-22 00:00:00,A,926
410,732,2026-05-10 00:00:00,C,1321
411,733,2025-12-26 00:00:00,A,2530
412,735,2026-06-28 00:00:00,A,1970
413,736,2026-06-28 00:00:00,A,2274
414,737,2024-03-19 00:00:00,A,1355
415,738,2025-06-11 00:00:00,A,1714
416,739,2022-05-29 00:00:00,A,2324
417,740,2026-04-10 00:00:00,A,1921
418,741,2026-02-24 00:00:00,A,2091
419,746,2025-07-28 00:00:00,C,1150
420,748,2025-10-30 00:00:00,A,1639
421,749,2025-01-02 00:00:00,B,1011
422,752,2023-10-03 00:00:00,A,1275
423,753,2026-06-28 00:00:00,C,672
424,755,2026-06-28 00:00:00,A,1589
425,757,2023-04-26 00:00:00,A,376
426,759,2026-06-28 00:00:00,A,2619
427,762,2023-12-23 00:00:00,A,2633
428,763,2026-06-28 00:00:00,A,1240
429,764,2025-03-25 00:00:00,A,818
430,765,2024-04-13 00:00:00,A,59
431,768,2026-04-27 00:00:00,B,1278
432,769,2026-06-28 00:00:00,A,1057
433,774,2025-07-20 00:00:00,A,707
434,775,2026-06-28 00:00:00,A,2446
435,785,2023-01-11 00:00:00,A,2138
436,788,2026-06-28 00:00:00,A,509
437,789,2023-06-13 00:00:00,A,1585
438,790,2026-06-28 00:00:00,A,1854
439,791,2024-01-15 00:00:00,A,1225
440,793,2024-05-17 00:00:00,A,1531
441,794,2023-03-20 00:00:00,A,648
442,797,2022-10-27 00:00:00,A,1063
443,799,2026-05-08 00:00:00,A,987
444,803,2024-04-19 00:00:00,C,2696
445,804,2025-04-26 00:00:00,A,2230
446,806,2023-07-06 00:00:00,A,1513
447,807,2023-12-31 00:00:00,C,1081
448,808,2022-04-18 00:00:00,B,1557
449,809,2024-11-21 00:00:00,A,1824
450,810,2026-03-23 00:00:00,A,1623
451,811,2023-06-13 00:00:00,C,1161
452,812,2026-06-28 00:00:00,A,1312
453,814,2023-03-06 00:00:00,A,866
454,815,2026-03-30 00:00:00,A,881
455,818,2026-06-28 00:00:00,B,511
456,820,2026-03-10 00:00:00,A,1640
457,821,2024-03-25 00:00:00,A,481
458,823,2026-03-08 00:00:00,A,499
459,824,2025-01-16 00:00:00,A,962
460,826,2026-02-23 00:00:00,A,1058
461,828,2022-07-21 00:00:00,A,1162
462,829,2025-02-13 00:00:00,A,2326
463,831,2025-07-03 00:00:00,A,2529
464,832,2026-06-08 00:00:00,A,461
465,835,2024-05-31 00:00:00,B,1331
466,837,2026-03-18 00:00:00,A,1069
467,838,2023-12-06 00:00:00,A,846
468,839,2026-06-28 00:00:00,A,2378
469,840,2025-12-19 00:00:00,B,2001
470,842,2022-05-13 00:00:00,A,179
471,844,2023-02-17 00:00:00,A,402
472,845,2023-09-07 00:00:00,A,1529
473,846,2023-12-30 00:00:00,A,1041
474,847,2025-09-10 00:00:00,C,2687
475,848,2022-12-05 00:00:00,A,1776
476,849,2023-09-13 00:00:00,A,1316
477,852,2025-12-16 00:00:00,A,901
478,853,2024-01-24 00:00:00,A,3
479,859,2022-06-06 00:00:00,B,224
480,861,2023-08-14 00:00:00,A,2170
481,864,2026-06-28 00:00:00,A,1175
482,865,2024-08-04 00:00:00,B,2227
483,868,2022-06-05 00:00:00,C,1051
484,869,2026-05-11 00:00:00,A,1193
485,870,2026-03-07 00:00:00,B,1154
486,871,2026-04-14 00:00:00,B,778
487,873,2026-06-28 00:00:00,A,2655
488,874,2025-10-18 00:00:00,C,658
489,878,2024-04-09 00:00:00,A,2427
490,881,2025-08-09 00:00:00,A,1085
491,882,2025-11-20 00:00:00,A,1220
492,884,2023-08-15 00:00:00,A,1401
493,885,2022-11-06 00:00:00,B,1283
494,887,2026-06-27 00:00:00,A,1331
495,888,2026-06-28 00:00:00,C,964
496,891,2026-06-25 00:00:00,A,2690
497,892,2024-06-03 00:00:00,A,1655
498,898,2025-10-05 00:00:00,A,2393
499,899,2023-01-18 00:00:00,A,504
500,901,2026-06-28 00:00:00,A,1566
501,902,2023-04-25 00:00:00,A,982
502,906,2023-03-12 00:00:00,A,788
503,909,2024-04-22 00:00:00,B,1626
504,910,2024-10-26 00:00:00,B,471
505,912,2023-12-04 00:00:00,A,1748
506,915,2026-06-28 00:00:00,A,1925
507,917,2026-03-21 00:00:00,B,591
508,919,2024-07-09 00:00:00,A,767
509,925,2022-11-18 00:00:00,A,369
510,926,2022-07-08 00:00:00,C,1279
511,927,2022-04-09 00:00:00,A,1745
512,930,2023-05-04 00:00:00,A,1445
513,931,2022-08-02 00:00:00,A,2670
514,932,2023-03-29 00:00:00,A,1591
515,933,2022-07-12 00:00:00,A,2498
516,934,2024-07-04 00:00:00,C,861
517,936,2023-06-21 00:00:00,A,1326
518,937,2025-06-27 00:00:00,A,618
519,938,2026-06-28 00:00:00,B,1423
520,942,2024-02-11 00:00:00,A,488
521,944,2026-02-07 00:00:00,C,2500
522,945,2022-06-23 00:00:00,A,1061
523,946,2024-10-11 00:00:00,C,1504
524,947,2023-06-06 00:00:00,C,206
525,948,2023-10-24 00:00:00,A,1160
526,950,2026-06-16 00:00:00,B,1580
527,951,2023-07-16 00:00:00,C,1987
528,953,2023-03-22 00:00:00,A,2602
529,955,2025-01-26 00:00:00,B,1392
530,956,2025-07-14 00:00:00,A,1684
531,957,2026-05-19 00:00:00,A,793
532,960,2022-11-17 00:00:00,A,434
533,962,2026-01-19 00:00:00,B,2530
534,966,2026-06-28 00:00:00,A,1460
535,976,2024-09-11 00:00:00,A,1543
536,978,2023-08-12 00:00:00,A,1074
537,979,2026-02-19 00:00:00,A,1367
538,980,2026-06-23 00:00:00,B,1834
539,984,2023-01-24 00:00:00,C,248
540,985,2023-06-03 00:00:00,A,601
541,987,2025-01-05 00:00:00,A,1400
542,988,2023-09-02 00:00:00,B,2215
543,991,2022-08-09 00:00:00,A,1545
544,992,2023-09-24 00:00:00,A,144
545,993,2023-06-07 00:00:00,A,2247
546,994,2022-08-16 00:00:00,A,228
547,996,2024-05-07 00:00:00,B,1858
548,997,2022-12-27 00:00:00,A,746
549,998,2024-06-19 00:00:00,A,473
550,1000,2025-02-17 00:00:00,A,236
551,1001,2026-06-28 00:00:00,A,1571
552,1003,2026-05-30 00:00:00,A,1329
553,1004,2025-11-25 00:00:00,C,2292
554,1005,2025-05-25 00:00:00,C,1677
555,1006,2023-08-02 00:00:00,A,117
556,1007,2024-06-14 00:00:00,A,306
557,1008,2024-03-17 00:00:00,B,2405
558,1010,2026-01-11 00:00:00,A,1674
559,1014,2023-08-14 00:00:00,A,1040
560,1016,2024-03-10 00:00:00,B,80
561,1018,2025-08-02 00:00:00,A,2184
562,1020,2022-12-10 00:00:00,A,298
563,1024,2025-10-28 00:00:00,C,1488
564,1025,2025-04-11 00:00:00,B,203
565,1026,2023-05-03 00:00:00,A,110
566,1028,2022-07-22 00:00:00,A,1731
567,1029,2023-03-30 00:00:00,A,2424
568,1030,2023-06-07 00:00:00,B,1711
569,1032,2025-10-28 00:00:00,A,1186
570,1034,2022-12-10 00:00:00,A,664
571,1035,2023-03-02 00:00:00,A,897
572,1037,2023-01-04 00:00:00,B,1180
573,1040,2025-03-10 00:00:00,C,2458
574,1042,2025-02-22 00:00:00,A,2153
575,1047,2025-08-09 00:00:00,A,1911
576,1048,2022-06-14 00:00:00,C,1229
577,1051,2025-12-21 00:00:00,A,2623
578,1055,2026-06-28 00:00:00,A,1966
579,1056,2026-06-21 00:00:00,A,2532
580,1057,2026-06-28 00:00:00,A,1580
581,1058,2024-11-26 00:00:00,A,1068
582,1059,2026-06-28 00:00:00,A,2635
583,1061,2023-10-28 00:00:00,A,1957
584,1062,2023-12-09 00:00:00,C,710
585,1063,2025-06-23 00:00:00,B,2284
586,1067,2026-06-28 00:00:00,A,445
587,1069,2026-06-28 00:00:00,A,2326
588,1070,2026-04-07 00:00:00,C,2293
589,1075,2024-01-22 00:00:00,A,2160
590,1076,2024-03-06 00:00:00,C,262
591,1077,2026-06-28 00:00:00,C,2006
592,1079,2024-04-12 00:00:00,A,2039
593,1081,2026-06-28 00:00:00,A,192
594,1082,2022-12-16 00:00:00,C,407
595,1084,2023-03-12 00:00:00,A,2535
596,1085,2025-07-07 00:00:00,B,158
597,1087,2024-09-17 00:00:00,A,1322
598,1088,2022-09-13 00:00:00,B,832
599,1089,2026-06-28 00:00:00,A,1977
600,1090,2024-03-24 00:00:00,A,1557
601,1092,2024-04-14 00:00:00,A,884
602,1093,2024-10-13 00:00:00,A,265
603,1095,2024-06-13 00:00:00,A,273
604,1096,2024-07-11 00:00:00,A,271
605,1097,2022-09-05 00:00:00,A,1321
606,1099,2022-06-08 00:00:00,A,915
607,1100,2025-06-11 00:00:00,A,1719
608,1103,2024-05-24 00:00:00,A,1184
609,1104,2023-08-26 00:00:00,A,2483
610,1106,2025-02-25 00:00:00,A,1541
611,1107,2024-03-21 00:00:00,A,1055
612,1109,2022-11-21 00:00:00,A,1778
613,1110,2026-06-28 00:00:00,A,1574
614,1112,2026-06-28 00:00:00,A,1733
615,1113,2024-04-25 00:00:00,A,952
616,1118,2024-06-24 00:00:00,A,382
617,1122,2025-09-06 00:00:00,A,1958
618,1123,2022-11-30 00:00:00,A,429
619,1127,2024-09-25 00:00:00,A,823
620,1128,2023-09-16 00:00:00,A,242
621,1129,2022-05-04 00:00:00,A,286
622,1132,2026-03-14 00:00:00,B,1737
623,1134,2023-08-09 00:00:00,C,133
624,1135,2025-01-23 00:00:00,C,142
625,1136,2023-04-03 00:00:00,C,957
626,1137,2025-03-28 00:00:00,A,191
627,1138,2022-10-27 00:00:00,A,2332
628,1140,2026-06-04 00:00:00,A,2345
629,1141,2026-02-04 00:00:00,C,307
630,1142,2023-11-16 00:00:00,A,2408
631,1143,2026-01-13 00:00:00,A,1738
632,1144,2022-04-22 00:00:00,A,838
633,1145,2026-04-12 00:00:00,A,720
634,1146,2024-10-23 00:00:00,A,765
635,1148,2023-08-31 00:00:00,B,2016
636,1154,2026-04-07 00:00:00,A,621
637,1155,2025-08-25 00:00:00,A,300
638,1157,2026-06-28 00:00:00,A,99
639,1160,2026-01-15 00:00:00,A,380
640,1161,2023-07-09 00:00:00,A,1397
641,1162,2026-06-28 00:00:00,C,842
