CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
46,IPC,392,2,2
46,ARMS,25,3,3
47,POCSO,4,1,1
47,NDPS,21,2,2
48,NDPS,22,1,1
48,ARMS,25,2,2
48,ARMS,25,3,3
49,IPC,354,1,1
49,IT,66D,2,2
49,IT,66D,3,3
50,POCSO,4,1,1
50,NDPS,21,2,2
51,NDPS,8,1,1
52,MV,196,1,1
53,ARMS,27,1,1
54,IPC,354,1,1
55,POCSO,8,1,1
55,IT,67,2,2
55,ARMS,25,3,3
56,MV,185,1,1
56,POCSO,10,2,2
56,POCSO,4,3,3
57,MV,196,1,1
58,ARMS,25,1,1
59,IPC,498A,1,1
59,MV,196,2,2
60,IT,66,1,1
61,POCSO,8,1,1
61,MV,184,2,2
61,POCSO,10,3,3
62,ARMS,27,1,1
63,IT,67,1,1
63,POCSO,10,2,2
64,ARMS,27,1,1
64,MV,184,2,2
64,IPC,323,3,3
65,NDPS,8,1,1
66,NDPS,21,1,1
67,ARMS,25,1,1
67,ARMS,25,2,2
67,ARMS,25,3,3
68,IPC,379,1,1
69,NDPS,21,1,1
70,IT,67,1,1
70,IT,66D,2,2
71,IPC,376,1,1
71,POCSO,8,2,2
71,NDPS,22,3,3
72,IT,67,1,1
72,IT,66C,2,2
73,IT,66C,1,1
73,NDPS,8,2,2
73,IT,66D,3,3
74,POCSO,6,1,1
74,NDPS,22,2,2
74,NDPS,22,3,3
75,MV,184,1,1
75,IPC,354,2,2
75,NDPS,22,3,3
76,IPC,379,1,1
76,POCSO,8,2,2
76,IPC,323,3,3
77,POCSO,4,1,1
77,ARMS,25,2,2
77,MV,196,3,3
78,NDPS,21,1,1
78,POCSO,8,2,2
78,IT,66,3,3
79,ARMS,25,1,1
79,IPC,392,2,2
80,MV,185,1,1
80,POCSO,6,2,2
80,POCSO,4,3,3
81,NDPS,8,1,1
81,POCSO,10,2,2
81,ARMS,25,3,3
82,IT,66D,1,1
83,IPC,420,1,1
83,POCSO,10,2,2
84,ARMS,27,1,1
85,NDPS,21,1,1
85,MV,185,2,2
85,NDPS,8,3,3
86,NDPS,21,1,1
87,NDPS,22,1,1
87,MV,184,2,2
87,POCSO,10,3,3
88,IT,66,1,1
88,IPC,323,2,2
88,ARMS,27,3,3
89,MV,196,1,1
89,POCSO,4,2,2
90,IT,67,1,1
90,IT,66,2,2
91,IT,66,1,1
91,IPC,354,2,2
92,IPC,379,1,1
93,NDPS,21,1,1
93,MV,184,2,2
94,NDPS,8,1,1
95,ARMS,27,1,1
95,POCSO,4,2,2
95,NDPS,22,3,3
96,ARMS,25,1,1
96,NDPS,22,2,2
96,MV,196,3,3
97,MV,184,1,1
98,NDPS,21,1,1
98,IPC,376,2,2
98,MV,196,3,3
99,IT,66C,1,1
100,ARMS,25,1,1
100,NDPS,21,2,2
100,IPC,302,3,3
101,IPC,498A,1,1
101,ARMS,27,2,2
102,NDPS,8,1,1
103,MV,185,1,1
104,NDPS,22,1,1
105,POCSO,10,1,1
105,IT,66D,2,2
106,NDPS,20,1,1
106,MV,196,2,2
107,ARMS,27,1,1
107,IPC,379,2,2
108,NDPS,20,1,1
109,ARMS,25,1,1
109,POCSO,6,2,2
110,ARMS,27,1,1
111,POCSO,8,1,1
112,MV,196,1,1
113,POCSO,8,1,1
114,IPC,324,1,1
114,IT,66D,2,2
114,MV,196,3,3
115,ARMS,27,1,1
115,IPC,323,2,2
116,POCSO,6,1,1
116,NDPS,22,2,2
117,IPC,376,1,1
117,MV,196,2,2
117,MV,184,3,3
118,POCSO,6,1,1
118,NDPS,8,2,2
118,MV,196,3,3
119,MV,184,1,1
120,POCSO,8,1,1
120,IT,67,2,2
121,IPC,323,1,1
121,IPC,498A,2,2
121,ARMS,27,3,3
122,NDPS,22,1,1
123,POCSO,10,1,1
123,IT,66,2,2
123,POCSO,6,3,3
124,IT,66D,1,1
124,POCSO,10,2,2
125,IT,66,1,1
126,MV,184,1,1
126,IT,66D,2,2
126,IPC,324,3,3
127,IT,67,1,1
127,NDPS,21,2,2
128,IPC,307,1,1
128,MV,185,2,2
129,NDPS,8,1,1
130,MV,185,1,1
130,NDPS,8,2,2
130,POCSO,6,3,3
131,NDPS,20,1,1
131,IPC,379,2,2
132,ARMS,25,1,1
132,IT,66,2,2
133,IT,67,1,1
133,IT,66C,2,2
134,ARMS,27,1,1
134,IT,66D,2,2
135,IT,66,1,1
135,ARMS,25,2,2
135,POCSO,6,3,3
136,NDPS,21,1,1
136,IT,66D,2,2
137,IPC,379,1,1
138,IPC,379,1,1
139,ARMS,25,1,1
139,ARMS,25,2,2
139,NDPS,22,3,3
140,IPC,498A,1,1
141,MV,196,1,1
141,MV,185,2,2
141,MV,196,3,3
142,IPC,354,1,1
143,NDPS,20,1,1
143,NDPS,20,2,2
143,MV,184,3,3
144,IT,66D,1,1
144,ARMS,25,2,2
144,MV,185,3,3
145,MV,196,1,1
145,IPC,498A,2,2
146,POCSO,10,1,1
146,IPC,307,2,2
147,MV,184,1,1
147,POCSO,8,2,2
148,MV,196,1,1
148,IPC,392,2,2
148,NDPS,8,3,3
149,IPC,323,1,1
149,NDPS,8,2,2
150,IPC,379,1,1
151,NDPS,20,1,1
152,POCSO,10,1,1
152,ARMS,25,2,2
153,NDPS,20,1,1
153,ARMS,27,2,2
154,MV,185,1,1
155,IT,66,1,1
156,NDPS,20,1,1
156,NDPS,22,2,2
156,ARMS,27,3,3
157,IPC,307,1,1
157,IPC,376,2,2
157,POCSO,10,3,3
158,IPC,307,1,1
158,MV,184,2,2
159,POCSO,6,1,1
160,MV,196,1,1
160,IT,66C,2,2
161,POCSO,6,1,1
162,ARMS,25,1,1
162,NDPS,21,2,2
162,POCSO,4,3,3
163,IPC,307,1,1
163,IPC,307,2,2
164,IT,66C,1,1
164,IT,67,2,2
165,MV,184,1,1
166,POCSO,10,1,1
166,IT,66D,2,2
166,ARMS,25,3,3
167,IT,66,1,1
167,MV,185,2,2
168,NDPS,21,1,1
168,MV,196,2,2
168,IPC,323,3,3
169,IT,66C,1,1
170,NDPS,22,1,1
170,IT,67,2,2
171,IT,67,1,1
171,IT,66C,2,2
172,POCSO,4,1,1
172,POCSO,4,2,2
173,POCSO,4,1,1
173,IT,66C,2,2
174,IT,66D,1,1
174,POCSO,8,2,2
174,POCSO,4,3,3
175,ARMS,27,1,1
176,POCSO,6,1,1
177,IT,66C,1,1
177,IT,66D,2,2
177,NDPS,22,3,3
178,IPC,376,1,1
178,ARMS,25,2,2
178,IT,67,3,3
179,ARMS,27,1,1
179,IT,66D,2,2
180,IPC,498A,1,1
180,ARMS,25,2,2
180,IT,67,3,3
181,MV,184,1,1
182,MV,196,1,1
183,ARMS,25,1,1
183,NDPS,22,2,2
183,MV,196,3,3
184,ARMS,25,1,1
184,ARMS,27,2,2
184,IT,67,3,3
185,NDPS,8,1,1
185,NDPS,22,2,2
186,NDPS,22,1,1
187,IT,67,1,1
188,IPC,324,1,1
189,NDPS,8,1,1
189,NDPS,21,2,2
190,ARMS,27,1,1
190,MV,185,2,2
191,POCSO,6,1,1
192,ARMS,27,1,1
192,POCSO,6,2,2
192,POCSO,4,3,3
193,MV,185,1,1
194,ARMS,25,1,1
194,ARMS,27,2,2
195,MV,196,1,1
196,ARMS,25,1,1
196,NDPS,8,2,2
196,MV,184,3,3
197,POCSO,6,1,1
197,ARMS,27,2,2
197,POCSO,4,3,3
198,IPC,420,1,1
198,POCSO,4,2,2
198,ARMS,27,3,3
199,MV,196,1,1
199,MV,196,2,2
199,ARMS,27,3,3
200,POCSO,10,1,1
201,MV,185,1,1
201,NDPS,21,2,2
201,ARMS,27,3,3
202,NDPS,21,1,1
203,NDPS,20,1,1
203,MV,184,2,2
203,IPC,420,3,3
204,NDPS,8,1,1
205,ARMS,25,1,1
205,IPC,302,2,2
205,IT,66C,3,3
206,NDPS,20,1,1
206,NDPS,8,2,2
206,IPC,498A,3,3
207,POCSO,10,1,1
207,POCSO,10,2,2
208,NDPS,22,1,1
208,IPC,354,2,2
208,ARMS,27,3,3
209,ARMS,25,1,1
209,MV,185,2,2
210,IPC,420,1,1
210,ARMS,27,2,2
210,POCSO,6,3,3
211,ARMS,27,1,1
211,IPC,420,2,2
211,ARMS,27,3,3
212,IPC,354,1,1
212,IPC,324,2,2
212,NDPS,21,3,3
213,IT,66D,1,1
214,ARMS,27,1,1
214,POCSO,4,2,2
215,MV,185,1,1
215,IT,67,2,2
216,POCSO,10,1,1
216,POCSO,4,2,2
217,ARMS,25,1,1
217,POCSO,10,2,2
217,IT,67,3,3
218,ARMS,25,1,1
219,IPC,324,1,1
219,MV,184,2,2
220,MV,185,1,1
220,ARMS,25,2,2
220,IPC,323,3,3
221,IPC,406,1,1
222,NDPS,20,1,1
222,NDPS,21,2,2
222,POCSO,4,3,3
223,NDPS,22,1,1
223,POCSO,8,2,2
223,ARMS,27,3,3
224,ARMS,25,1,1
224,POCSO,6,2,2
224,ARMS,25,3,3
225,IPC,307,1,1
225,NDPS,20,2,2
226,ARMS,27,1,1
226,IT,67,2,2
227,IPC,376,1,1
227,POCSO,6,2,2
228,MV,196,1,1
229,POCSO,4,1,1
230,POCSO,10,1,1
231,NDPS,20,1,1
231,IPC,324,2,2
231,IPC,392,3,3
232,IPC,302,1,1
232,NDPS,22,2,2
233,MV,185,1,1
234,MV,196,1,1
235,POCSO,4,1,1
236,IPC,302,1,1
236,MV,185,2,2
236,IPC,420,3,3
237,POCSO,6,1,1
237,MV,184,2,2
237,NDPS,21,3,3
238,MV,184,1,1
239,POCSO,6,1,1
239,MV,185,2,2
239,MV,196,3,3
240,IPC,323,1,1
240,NDPS,20,2,2
241,MV,196,1,1
242,IT,67,1,1
242,MV,185,2,2
243,POCSO,4,1,1
244,POCSO,4,1,1
244,ARMS,27,2,2
245,ARMS,25,1,1
245,IPC,307,2,2
245,NDPS,21,3,3
246,ARMS,27,1,1
246,NDPS,22,2,2
247,NDPS,20,1,1
248,MV,184,1,1
249,MV,184,1,1
250,POCSO,8,1,1
250,MV,196,2,2
251,POCSO,10,1,1
252,ARMS,25,1,1
252,IPC,392,2,2
253,IPC,324,1,1
253,IT,66C,2,2
253,POCSO,6,3,3
254,MV,185,1,1
254,IT,66,2,2
255,MV,196,1,1
256,IPC,376,1,1
257,IT,67,1,1
258,MV,184,1,1
258,ARMS,27,2,2
258,ARMS,27,3,3
259,IPC,420,1,1
259,IT,66,2,2
260,MV,185,1,1
260,IPC,406,2,2
261,IPC,302,1,1
262,ARMS,27,1,1
262,IT,66,2,2
262,ARMS,25,3,3
263,POCSO,6,1,1
263,IT,66D,2,2
263,NDPS,22,3,3
264,IT,66,1,1
264,ARMS,27,2,2
265,ARMS,27,1,1
265,NDPS,21,2,2
266,IPC,406,1,1
266,ARMS,25,2,2
267,NDPS,22,1,1
267,POCSO,8,2,2
268,IT,66,1,1
269,MV,185,1,1
269,MV,196,2,2
270,POCSO,6,1,1
270,POCSO,6,2,2
270,MV,196,3,3
271,MV,184,1,1
271,NDPS,20,2,2
272,POCSO,8,1,1
272,POCSO,10,2,2
273,POCSO,10,1,1
273,MV,196,2,2
274,IT,66,1,1
274,ARMS,25,2,2
275,ARMS,25,1,1
275,IPC,302,2,2
275,POCSO,6,3,3
276,POCSO,10,1,1
276,IT,67,2,2
277,MV,196,1,1
277,MV,185,2,2
277,NDPS,21,3,3
278,NDPS,21,1,1
278,NDPS,21,2,2
279,IPC,420,1,1
280,NDPS,22,1,1
280,IT,66D,2,2
281,MV,185,1,1
281,NDPS,21,2,2
282,MV,196,1,1
283,ARMS,25,1,1
284,MV,184,1,1
284,IPC,323,2,2
284,POCSO,8,3,3
285,NDPS,22,1,1
285,IPC,406,2,2
285,ARMS,25,3,3
286,NDPS,21,1,1
286,NDPS,8,2,2
286,NDPS,22,3,3
287,NDPS,20,1,1
287,IPC,406,2,2
287,ARMS,27,3,3
288,NDPS,21,1,1
289,IT,66D,1,1
289,ARMS,27,2,2
290,IT,66D,1,1
290,NDPS,22,2,2
290,POCSO,4,3,3
291,ARMS,25,1,1
291,MV,185,2,2
292,NDPS,8,1,1
292,ARMS,25,2,2
293,IT,66,1,1
293,MV,185,2,2
294,NDPS,22,1,1
294,ARMS,27,2,2
294,IPC,323,3,3
295,NDPS,20,1,1
295,POCSO,10,2,2
295,MV,196,3,3
296,ARMS,27,1,1
296,POCSO,4,2,2
296,IT,67,3,3
297,IPC,302,1,1
297,ARMS,25,2,2
298,MV,185,1,1
299,ARMS,27,1,1
300,IT,67,1,1
301,ARMS,27,1,1
301,IT,66C,2,2
301,IT,66,3,3
302,IT,66D,1,1
302,MV,185,2,2
302,NDPS,22,3,3
303,NDPS,21,1,1
304,NDPS,20,1,1
304,POCSO,8,2,2
305,IPC,307,1,1
305,POCSO,10,2,2
306,IPC,498A,1,1
307,ARMS,25,1,1
308,POCSO,10,1,1
308,ARMS,27,2,2
308,IPC,302,3,3
309,POCSO,6,1,1
309,IT,66C,2,2
309,POCSO,10,3,3
310,IT,66,1,1
310,IPC,406,2,2
311,MV,184,1,1
311,IT,67,2,2
312,MV,196,1,1
313,POCSO,8,1,1
313,MV,185,2,2
313,IPC,324,3,3
314,MV,185,1,1
314,ARMS,25,2,2
314,IT,67,3,3
315,POCSO,6,1,1
315,MV,196,2,2
315,IPC,498A,3,3
316,POCSO,8,1,1
317,IT,66,1,1
318,MV,184,1,1
318,NDPS,22,2,2
318,IT,66D,3,3
319,NDPS,8,1,1
320,IPC,379,1,1
320,POCSO,10,2,2
321,NDPS,8,1,1
321,IPC,323,2,2
322,IT,67,1,1
323,ARMS,25,1,1
323,IPC,379,2,2
324,IPC,406,1,1
325,IPC,354,1,1
325,IPC,406,2,2
325,ARMS,25,3,3
326,IT,66C,1,1
326,POCSO,8,2,2
327,IPC,376,1,1
328,ARMS,25,1,1
328,MV,185,2,2
328,MV,185,3,3
329,NDPS,20,1,1
330,IT,66C,1,1
330,NDPS,20,2,2
331,MV,196,1,1
331,POCSO,4,2,2
332,NDPS,8,1,1
332,MV,184,2,2
333,IPC,307,1,1
334,ARMS,27,1,1
334,IT,66C,2,2
334,ARMS,27,3,3
335,ARMS,27,1,1
335,ARMS,27,2,2
335,IPC,302,3,3
336,IPC,498A,1,1
336,NDPS,21,2,2
336,IPC,376,3,3
337,NDPS,21,1,1
338,NDPS,22,1,1
339,ARMS,27,1,1
339,ARMS,27,2,2
339,IPC,392,3,3
340,ARMS,25,1,1
341,NDPS,8,1,1
341,ARMS,27,2,2
342,ARMS,25,1,1
343,IT,67,1,1
343,NDPS,21,2,2
344,IPC,376,1,1
344,POCSO,4,2,2
344,NDPS,8,3,3
345,NDPS,22,1,1
345,ARMS,27,2,2
345,POCSO,10,3,3
346,ARMS,27,1,1
347,ARMS,25,1,1
347,MV,196,2,2
348,MV,196,1,1
348,MV,185,2,2
348,IT,66,3,3
349,IPC,323,1,1
349,POCSO,6,2,2
349,IT,67,3,3
350,POCSO,6,1,1
350,IPC,376,2,2
350,POCSO,10,3,3
351,POCSO,8,1,1
351,ARMS,25,2,2
352,MV,185,1,1
352,ARMS,27,2,2
352,ARMS,25,3,3
353,NDPS,8,1,1
354,POCSO,4,1,1
355,POCSO,6,1,1
355,ARMS,27,2,2
356,IT,66C,1,1
357,IPC,376,1,1
358,POCSO,4,1,1
358,POCSO,4,2,2
359,ARMS,25,1,1
359,IT,67,2,2
360,POCSO,4,1,1
360,MV,184,2,2
360,IT,67,3,3
361,MV,196,1,1
361,IT,67,2,2
361,POCSO,6,3,3
362,ARMS,27,1,1
362,ARMS,25,2,2
362,NDPS,22,3,3
363,MV,184,1,1
364,NDPS,21,1,1
364,NDPS,8,2,2
365,IT,67,1,1
365,POCSO,6,2,2
366,POCSO,10,1,1
366,IPC,498A,2,2
367,MV,185,1,1
368,IPC,323,1,1
368,MV,185,2,2
368,MV,184,3,3
369,NDPS,8,1,1
370,POCSO,6,1,1
371,IT,66,1,1
371,IPC,324,2,2
372,MV,184,1,1
372,ARMS,25,2,2
372,IT,66C,3,3
373,NDPS,8,1,1
374,POCSO,8,1,1
374,IPC,498A,2,2
375,IT,66D,1,1
375,NDPS,8,2,2
375,IPC,323,3,3
376,IPC,392,1,1
376,IPC,323,2,2
376,MV,185,3,3
377,IPC,324,1,1
377,IPC,324,2,2
378,MV,184,1,1
378,MV,196,2,2
378,NDPS,22,3,3
379,MV,185,1,1
379,MV,184,2,2
380,POCSO,8,1,1
380,IPC,392,2,2
381,ARMS,25,1,1
381,POCSO,4,2,2
381,IPC,354,3,3
382,MV,196,1,1
382,ARMS,27,2,2
382,MV,196,3,3
383,NDPS,21,1,1
384,NDPS,8,1,1
385,POCSO,4,1,1
385,NDPS,20,2,2
385,NDPS,20,3,3
386,POCSO,4,1,1
386,IPC,379,2,2
387,ARMS,25,1,1
387,ARMS,25,2,2
388,IT,66D,1,1
388,IT,66D,2,2
388,ARMS,25,3,3
389,NDPS,8,1,1
389,ARMS,27,2,2
389,IT,66D,3,3
390,NDPS,22,1,1
390,IPC,376,2,2
391,IPC,302,1,1
391,MV,184,2,2
391,ARMS,25,3,3
392,MV,185,1,1
393,IT,66D,1,1
394,ARMS,27,1,1
394,NDPS,22,2,2
394,ARMS,25,3,3
395,NDPS,21,1,1
396,IT,67,1,1
397,IT,67,1,1
397,POCSO,4,2,2
397,POCSO,6,3,3
398,IT,66D,1,1
398,POCSO,10,2,2
399,POCSO,4,1,1
399,ARMS,25,2,2
399,MV,196,3,3
400,NDPS,21,1,1
400,IPC,392,2,2
400,MV,196,3,3
401,ARMS,25,1,1
401,POCSO,10,2,2
401,MV,185,3,3
402,NDPS,21,1,1
402,IT,66D,2,2
403,NDPS,20,1,1
403,NDPS,8,2,2
403,MV,196,3,3
404,ARMS,27,1,1
404,IPC,376,2,2
405,IT,66,1,1
406,IT,67,1,1
407,NDPS,21,1,1
407,IPC,392,2,2
407,POCSO,10,3,3
408,IPC,354,1,1
408,IPC,354,2,2
409,MV,184,1,1
409,POCSO,8,2,2
410,NDPS,22,1,1
410,IPC,498A,2,2
410,POCSO,10,3,3
411,IPC,307,1,1
411,ARMS,25,2,2
411,POCSO,10,3,3
412,NDPS,8,1,1
412,NDPS,22,2,2
412,IPC,323,3,3
413,IPC,376,1,1
413,IPC,376,2,2
414,IT,66C,1,1
414,NDPS,21,2,2
414,IT,66,3,3
415,IT,67,1,1
415,IT,66C,2,2
416,ARMS,27,1,1
417,IT,67,1,1
417,NDPS,20,2,2
418,POCSO,8,1,1
418,ARMS,27,2,2
419,ARMS,27,1,1
420,IT,66,1,1
420,NDPS,21,2,2
420,IPC,420,3,3
421,IPC,376,1,1
422,IT,66D,1,1
423,NDPS,8,1,1
423,POCSO,10,2,2
423,MV,184,3,3
424,MV,196,1,1
424,IT,66,2,2
425,MV,185,1,1
425,ARMS,27,2,2
426,POCSO,10,1,1
426,ARMS,27,2,2
427,POCSO,6,1,1
427,ARMS,25,2,2
427,IT,66C,3,3
428,IT,66D,1,1
428,ARMS,27,2,2
429,MV,196,1,1
429,POCSO,10,2,2
430,IT,66,1,1
431,IPC,420,1,1
431,POCSO,8,2,2
431,NDPS,21,3,3
432,POCSO,10,1,1
432,ARMS,25,2,2
433,MV,185,1,1
433,MV,185,2,2
433,IPC,379,3,3
434,MV,196,1,1
434,NDPS,22,2,2
434,ARMS,25,3,3
435,IT,66C,1,1
435,NDPS,22,2,2
435,ARMS,27,3,3
436,POCSO,10,1,1
436,NDPS,20,2,2
436,NDPS,21,3,3
437,MV,184,1,1
437,NDPS,21,2,2
438,IT,66D,1,1
439,IT,66D,1,1
439,MV,196,2,2
439,ARMS,25,3,3
440,NDPS,22,1,1
441,MV,185,1,1
441,ARMS,27,2,2
442,POCSO,8,1,1
442,IT,67,2,2
442,IT,67,3,3
443,POCSO,10,1,1
443,ARMS,25,2,2
444,ARMS,25,1,1
444,IPC,323,2,2
444,POCSO,6,3,3
445,MV,185,1,1
445,IPC,324,2,2
445,IPC,420,3,3
446,POCSO,4,1,1
446,NDPS,21,2,2
446,IPC,498A,3,3
447,ARMS,27,1,1
447,ARMS,25,2,2
448,POCSO,10,1,1
448,ARMS,27,2,2
449,MV,184,1,1
450,IT,67,1,1
450,NDPS,22,2,2
450,MV,185,3,3
451,POCSO,10,1,1
452,MV,185,1,1
452,NDPS,21,2,2
453,POCSO,4,1,1
454,POCSO,8,1,1
455,ARMS,27,1,1
455,POCSO,8,2,2
456,POCSO,6,1,1
456,IPC,324,2,2
456,IT,66C,3,3
457,ARMS,25,1,1
457,POCSO,4,2,2
457,POCSO,4,3,3
458,NDPS,20,1,1
458,ARMS,27,2,2
459,ARMS,27,1,1
459,NDPS,22,2,2
460,NDPS,21,1,1
460,IT,66,2,2
461,POCSO,4,1,1
462,POCSO,10,1,1
462,IT,66C,2,2
463,ARMS,27,1,1
464,ARMS,25,1,1
464,ARMS,27,2,2
464,IT,66D,3,3
465,ARMS,27,1,1
466,POCSO,10,1,1
466,NDPS,21,2,2
467,POCSO,6,1,1
467,POCSO,6,2,2
467,IT,66C,3,3
468,IPC,406,1,1
468,ARMS,27,2,2
469,POCSO,8,1,1
470,POCSO,4,1,1
470,NDPS,22,2,2
471,IPC,379,1,1
472,IT,67,1,1
472,POCSO,10,2,2
473,IPC,392,1,1
474,ARMS,27,1,1
474,ARMS,25,2,2
474,NDPS,21,3,3
475,MV,185,1,1
475,POCSO,10,2,2
475,NDPS,21,3,3
476,POCSO,6,1,1
476,NDPS,21,2,2
476,NDPS,20,3,3
477,ARMS,25,1,1
477,ARMS,25,2,2
478,IT,67,1,1
478,NDPS,20,2,2
479,IPC,354,1,1
479,MV,184,2,2
480,POCSO,4,1,1
480,NDPS,20,2,2
480,POCSO,6,3,3
481,ARMS,27,1,1
481,MV,185,2,2
482,ARMS,25,1,1
482,NDPS,22,2,2
482,IPC,354,3,3
483,MV,185,1,1
483,IT,66,2,2
484,IT,67,1,1
485,IPC,392,1,1
485,ARMS,27,2,2
486,POCSO,4,1,1
486,ARMS,25,2,2
487,POCSO,10,1,1
488,IPC,420,1,1
488,MV,184,2,2
488,ARMS,27,3,3
489,MV,185,1,1
489,POCSO,8,2,2
489,ARMS,25,3,3
490,POCSO,4,1,1
490,MV,185,2,2
491,NDPS,8,1,1
491,IT,66,2,2
492,IPC,406,1,1
492,IT,66D,2,2
492,IPC,392,3,3
493,POCSO,6,1,1
493,ARMS,25,2,2
493,IPC,354,3,3
494,MV,185,1,1
494,ARMS,25,2,2
495,IPC,354,1,1
496,ARMS,25,1,1
497,POCSO,8,1,1
498,ARMS,27,1,1
499,ARMS,25,1,1
499,ARMS,27,2,2
500,IPC,323,1,1
500,ARMS,25,2,2
501,NDPS,22,1,1
502,IT,67,1,1
502,ARMS,25,2,2
503,ARMS,25,1,1
503,POCSO,10,2,2
503,NDPS,21,3,3
504,POCSO,4,1,1
505,NDPS,8,1,1
505,NDPS,8,2,2
506,POCSO,8,1,1
507,POCSO,4,1,1
507,POCSO,8,2,2
507,MV,184,3,3
508,NDPS,22,1,1
509,ARMS,27,1,1
509,NDPS,21,2,2
510,MV,196,1,1
510,MV,196,2,2
510,IT,66,3,3
511,IT,66,1,1
512,MV,184,1,1
512,POCSO,4,2,2
513,POCSO,4,1,1
513,IT,66D,2,2
513,MV,184,3,3
514,MV,196,1,1
514,IT,66D,2,2
515,IT,66,1,1
516,POCSO,8,1,1
516,IPC,498A,2,2
516,ARMS,25,3,3
517,IT,67,1,1
517,NDPS,22,2,2
518,ARMS,27,1,1
519,NDPS,22,1,1
520,ARMS,25,1,1
520,IPC,376,2,2
521,IPC,376,1,1
521,NDPS,20,2,2
522,IPC,392,1,1
522,IPC,324,2,2
522,ARMS,25,3,3
523,NDPS,8,1,1
524,POCSO,4,1,1
524,POCSO,8,2,2
524,ARMS,27,3,3
525,POCSO,8,1,1
525,POCSO,10,2,2
526,NDPS,8,1,1
526,POCSO,4,2,2
527,IPC,324,1,1
528,NDPS,21,1,1
528,IPC,420,2,2
529,IPC,498A,1,1
529,POCSO,8,2,2
530,IPC,376,1,1
531,ARMS,27,1,1
531,POCSO,6,2,2
532,NDPS,21,1,1
532,MV,184,2,2
533,MV,185,1,1
534,NDPS,21,1,1
534,ARMS,25,2,2
535,ARMS,27,1,1
535,NDPS,22,2,2
535,ARMS,27,3,3
536,MV,184,1,1
536,POCSO,10,2,2
537,NDPS,22,1,1
537,NDPS,20,2,2
538,IPC,307,1,1
538,MV,196,2,2
539,POCSO,10,1,1
540,POCSO,8,1,1
540,IPC,354,2,2
541,POCSO,6,1,1
542,POCSO,6,1,1
542,MV,185,2,2
542,POCSO,8,3,3
543,POCSO,8,1,1
544,ARMS,27,1,1
545,NDPS,22,1,1
545,IPC,406,2,2
546,ARMS,25,1,1
546,NDPS,22,2,2
547,IPC,376,1,1
547,POCSO,4,2,2
548,MV,196,1,1
548,MV,185,2,2
549,MV,185,1,1
549,POCSO,10,2,2
549,MV,184,3,3
550,POCSO,4,1,1
551,NDPS,20,1,1
551,NDPS,8,2,2
551,MV,185,3,3
552,IT,67,1,1
553,IPC,379,1,1
553,IT,67,2,2
553,IT,67,3,3
554,POCSO,6,1,1
554,NDPS,8,2,2
554,ARMS,25,3,3
555,NDPS,8,1,1
555,ARMS,25,2,2
555,NDPS,22,3,3
556,ARMS,27,1,1
556,ARMS,27,2,2
557,ARMS,25,1,1
557,IT,67,2,2
558,POCSO,4,1,1
559,NDPS,20,1,1
559,NDPS,8,2,2
560,IPC,302,1,1
560,IPC,420,2,2
