UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
178,Raichur Town PS 7,4,171,1,1,23,1
179,Raichur Town PS 8,4,171,1,1,23,1
180,Raichur Town PS 9,4,171,1,1,23,1
181,Ramanagara District Police Office,2,,1,1,24,1
182,Ramanagara Town PS 1,4,181,1,1,24,1
183,Ramanagara Town PS 2,4,181,1,1,24,1
184,Ramanagara Town PS 3,4,181,1,1,24,1
185,Ramanagara Town PS 4,4,181,1,1,24,1
186,Ramanagara Town PS 5,4,181,1,1,24,1
187,Ramanagara Town PS 6,4,181,1,1,24,1
188,Ramanagara Town PS 7,4,181,1,1,24,1
189,Ramanagara Town PS 8,4,181,1,1,24,1
190,Shivamogga District Police Office,2,,1,1,25,1
191,Shivamogga Town PS 1,4,190,1,1,25,1
192,Shivamogga Town PS 2,4,190,1,1,25,1
193,Shivamogga Town PS 3,4,190,1,1,25,1
194,Shivamogga Town PS 4,4,190,1,1,25,1
195,Shivamogga Town PS 5,4,190,1,1,25,1
196,Shivamogga Town PS 6,4,190,1,1,25,1
197,Shivamogga Town PS 7,4,190,1,1,25,1
198,Shivamogga Town PS 8,4,190,1,1,25,1
199,Shivamogga Town PS 9,4,190,1,1,25,1
200,Shivamogga Town PS 10,4,190,1,1,25,1
201,Tumakuru District Police Office,2,,1,1,26,1
202,Tumakuru Town PS 1,4,201,1,1,26,1
203,Tumakuru Town PS 2,4,201,1,1,26,1
204,Tumakuru Town PS 3,4,201,1,1,26,1
205,Tumakuru Town PS 4,4,201,1,1,26,1
206,Tumakuru Town PS 5,4,201,1,1,26,1
207,Tumakuru Town PS 6,4,201,1,1,26,1
208,Udupi District Police Office,2,,1,1,27,1
209,Udupi Town PS 1,4,208,1,1,27,1
210,Udupi Town PS 2,4,208,1,1,27,1
211,Udupi Town PS 3,4,208,1,1,27,1
212,Udupi Town PS 4,4,208,1,1,27,1
213,Udupi Town PS 5,4,208,1,1,27,1
214,Udupi Town PS 6,4,208,1,1,27,1
215,Udupi Town PS 7,4,208,1,1,27,1
216,Udupi Town PS 8,4,208,1,1,27,1
217,Uttara Kannada District Police Office,2,,1,1,28,1
218,Uttara Kannada Town PS 1,4,217,1,1,28,1
219,Uttara Kannada Town PS 2,4,217,1,1,28,1
220,Uttara Kannada Town PS 3,4,217,1,1,28,1
221,Uttara Kannada Town PS 4,4,217,1,1,28,1
222,Uttara Kannada Town PS 5,4,217,1,1,28,1
223,Vijayapura District Police Office,2,,1,1,29,1
224,Vijayapura Town PS 1,4,223,1,1,29,1
225,Vijayapura Town PS 2,4,223,1,1,29,1
226,Vijayapura Town PS 3,4,223,1,1,29,1
227,Vijayapura Town PS 4,4,223,1,1,29,1
228,Vijayapura Town PS 5,4,223,1,1,29,1
229,Vijayapura Town PS 6,4,223,1,1,29,1
230,Vijayapura Town PS 7,4,223,1,1,29,1
231,Vijayapura Town PS 8,4,223,1,1,29,1
232,Vijayapura Town PS 9,4,223,1,1,29,1
233,Yadgir District Police Office,2,,1,1,30,1
234,Yadgir Town PS 1,4,233,1,1,30,1
235,Yadgir Town PS 2,4,233,1,1,30,1
236,Yadgir Town PS 3,4,233,1,1,30,1
237,Yadgir Town PS 4,4,233,1,1,30,1
238,Vijayanagara District Police Office,2,,1,1,31,1
239,Vijayanagara Town PS 1,4,238,1,1,31,1
240,Vijayanagara Town PS 2,4,238,1,1,31,1
241,Vijayanagara Town PS 3,4,238,1,1,31,1
242,Vijayanagara Town PS 4,4,238,1,1,31,1
