ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
89,103,1,2022-10-25,1,2,17,189,3,241,1,0
90,103,2,2022-10-11,1,2,17,189,3,242,1,0
91,104,1,2022-11-18,1,5,35,384,9,243,1,0
92,106,1,2025-06-05,1,13,95,1039,26,250,1,0
93,106,1,2025-07-28,1,13,95,1039,26,248,1,0
94,111,1,2023-05-30,1,4,25,264,8,265,1,0
95,111,1,2023-05-24,1,4,25,264,8,267,1,0
96,113,1,2026-03-24,1,24,186,2045,48,272,1,0
97,115,2,2025-12-23,1,20,149,1621,39,280,1,0
98,115,1,2025-11-28,1,20,149,1621,39,278,1,0
99,116,2,2024-02-11,1,12,88,964,23,282,1,0
100,118,1,2026-03-23,1,9,63,679,17,289,1,0
101,120,1,2026-02-22,1,29,230,2564,58,292,1,0
102,122,1,2023-11-29,1,6,38,407,12,297,1,0
103,123,2,2023-07-30,1,9,66,723,18,299,1,0
104,124,2,2023-01-30,1,17,128,1405,33,300,1,0
105,125,1,2023-11-29,1,25,197,2190,50,301,1,0
106,125,1,2024-01-01,1,25,197,2190,50,302,1,0
107,126,2,2024-07-16,1,9,65,703,18,304,1,0
108,126,1,2024-07-07,1,9,65,703,18,303,1,0
109,128,1,2025-10-06,1,5,31,335,10,308,1,0
110,128,1,2025-08-20,1,5,31,335,10,307,1,0
111,130,1,2024-03-08,1,23,173,1886,46,310,1,0
112,131,1,2023-01-14,1,6,38,407,12,312,1,0
113,131,1,2022-11-25,1,6,38,407,12,311,1,0
114,132,1,2024-07-19,1,1,8,88,2,314,1,0
115,133,1,2023-12-29,1,21,155,1688,41,319,1,0
116,134,1,2022-07-06,1,11,82,902,22,320,1,0
117,134,2,2022-07-04,1,11,82,902,22,321,1,0
118,135,2,2026-01-28,1,5,32,342,10,325,1,0
119,137,1,2026-03-22,1,27,211,2337,54,331,1,0
120,139,1,2023-10-10,1,22,162,1755,43,335,1,0
121,140,1,2023-10-12,1,19,142,1556,37,337,1,0
122,141,1,2022-09-03,1,10,68,728,19,338,1,0
123,143,2,2023-06-08,1,9,61,655,17,340,1,0
124,144,1,2022-12-09,1,12,93,1036,24,341,1,0
125,145,2,2026-03-31,1,23,177,1939,46,343,1,0
126,146,1,2025-08-24,1,24,188,2079,48,347,1,0
127,147,2,2025-08-08,1,2,14,159,3,349,1,0
128,149,1,2025-01-11,1,1,6,59,2,352,1,0
129,150,1,2024-01-22,1,16,119,1314,31,354,1,0
130,151,2,2026-03-12,1,8,57,617,15,356,1,0
131,151,1,2026-02-15,1,8,57,617,15,357,1,0
132,152,1,2024-12-31,1,18,134,1469,35,359,1,0
133,153,1,2023-02-08,1,22,168,1836,44,361,1,0
134,153,1,2023-02-02,1,22,168,1836,44,360,1,0
135,154,1,2024-01-15,1,23,177,1935,45,362,1,0
136,154,1,2024-02-18,1,23,177,1935,45,363,1,1
137,157,1,2025-01-22,1,18,136,1502,36,371,1,0
138,159,1,2026-05-04,1,13,96,1055,25,376,1,0
139,161,1,2025-04-18,1,23,172,1867,46,381,1,1
140,161,1,2025-03-09,1,23,172,1867,46,380,1,0
141,163,1,2024-01-17,1,27,213,2356,54,385,1,0
142,164,2,2023-06-22,1,7,48,521,14,388,1,0
143,164,1,2023-05-30,1,7,48,521,14,387,1,0
144,165,2,2025-03-05,1,23,174,1893,46,390,1,0
145,167,1,2023-03-10,1,8,51,547,15,397,1,0
146,168,1,2025-04-27,1,22,166,1802,43,398,1,0
147,169,1,2024-03-11,1,7,47,509,13,400,1,0
148,169,1,2024-04-14,1,7,47,509,13,401,1,0
149,170,1,2022-11-02,1,5,32,351,9,402,1,0
150,170,1,2022-11-02,1,5,32,351,9,404,1,0
151,172,1,2025-09-13,1,7,46,497,14,409,1,1
152,173,2,2025-09-04,1,15,111,1224,29,411,1,0
153,175,1,2024-08-02,1,27,210,2326,54,416,1,0
154,175,1,2024-07-25,1,27,210,2326,54,417,1,0
155,176,1,2026-05-03,1,14,103,1132,28,419,1,0
156,177,1,2023-09-09,1,22,165,1800,43,420,1,0
157,178,1,2026-03-05,1,16,125,1377,31,424,1,0
158,180,1,2023-10-18,1,8,56,610,15,431,1,0
159,182,1,2026-05-29,1,10,73,806,20,435,1,0
160,183,1,2025-09-10,1,22,167,1820,44,440,1,0
161,185,2,2022-10-30,1,16,122,1346,32,447,1,0
162,185,1,2022-10-02,1,16,122,1346,32,444,1,0
163,186,2,2022-04-04,1,17,127,1393,33,448,1,0
164,187,1,2023-11-29,1,11,82,906,21,451,1,0
165,188,1,2025-01-02,1,2,17,190,3,453,1,0
166,189,2,2023-07-08,1,8,54,583,15,455,1,0
167,189,1,2023-06-26,1,8,54,583,15,454,1,0
168,190,1,2023-12-16,1,9,61,661,18,456,1,0
169,191,2,2025-04-21,1,19,143,1568,37,458,1,0
170,191,1,2025-03-31,1,19,143,1568,37,457,1,0
171,192,1,2023-08-06,1,26,204,2270,51,459,1,0
172,195,1,2026-02-27,1,9,62,675,18,468,1,0
173,196,1,2025-12-05,1,1,3,19,1,471,1,0
174,199,1,2024-06-08,1,24,186,2053,47,477,1,0
175,200,1,2025-10-07,1,26,204,2273,52,478,1,0
176,203,2,2026-04-20,1,14,105,1178,27,484,1,0
177,204,1,2023-04-11,1,9,64,691,18,486,1,0
178,204,1,2023-04-25,1,9,64,691,18,485,1,0
179,207,1,2025-04-12,1,9,65,705,18,491,1,0
180,207,1,2025-04-21,1,9,65,705,18,493,1,0
181,208,1,2024-08-26,1,23,176,1922,45,495,1,0
182,210,1,2024-12-13,1,13,98,1086,26,501,1,0
183,210,2,2024-12-28,1,13,98,1086,26,500,1,0
184,212,1,2023-03-13,1,30,234,2604,60,504,1,0
185,212,2,2023-02-19,1,30,234,2604,60,505,1,0
186,213,2,2023-07-30,1,11,79,866,22,507,1,0
187,215,2,2026-02-20,1,20,147,1597,39,511,1,0
188,216,1,2023-07-15,1,29,224,2493,58,514,1,0
189,218,1,2022-10-28,1,23,175,1911,45,519,1,0
190,219,1,2024-11-28,1,6,40,441,11,520,1,0
191,222,1,2023-02-17,1,23,177,1934,45,527,1,0
192,222,2,2023-02-15,1,23,177,1934,45,528,1,0
193,223,1,2026-03-29,1,16,118,1303,31,529,1,0
194,225,2,2026-03-26,1,25,191,2113,50,537,1,0
195,225,2,2026-04-05,1,25,191,2113,50,540,1,0
196,226,1,2026-04-09,1,1,5,47,2,541,1,0
197,228,1,2022-03-25,1,29,229,2552,58,544,1,0
198,230,1,2024-01-21,1,2,16,183,3,546,1,0
199,230,2,2023-12-22,1,2,16,183,3,548,1,0
200,232,1,2023-10-13,1,11,81,896,22,553,1,0
201,233,1,2024-01-10,1,31,241,2683,62,560,1,0
202,234,1,2025-03-21,1,28,220,2441,56,561,1,1
203,235,1,2023-12-20,1,9,65,710,17,564,1,0
204,235,2,2023-12-19,1,9,65,710,17,563,1,0
205,236,1,2026-06-28,1,9,63,680,18,566,1,0
206,238,1,2023-12-29,1,9,64,692,17,570,1,0
207,238,1,2023-12-12,1,9,64,692,17,569,1,0
208,240,2,2024-05-13,1,27,210,2326,53,577,1,0
209,240,1,2024-06-23,1,27,210,2326,53,576,1,0
210,241,2,2026-03-14,1,27,213,2359,54,579,1,0
211,241,1,2026-04-03,1,27,213,2359,54,580,1,0
212,243,1,2024-09-04,1,23,178,1948,45,585,1,0
213,243,1,2024-08-14,1,23,178,1948,45,587,1,0
214,244,1,2025-04-25,1,18,132,1456,36,589,1,0
215,244,1,2025-06-11,1,18,132,1456,36,588,1,0
216,245,1,2022-02-10,1,25,192,2123,49,592,1,0
217,245,2,2022-02-27,1,25,192,2123,49,591,1,0
218,246,1,2023-10-18,1,2,18,205,3,595,1,0
219,246,1,2023-09-30,1,2,18,205,3,594,1,0
220,247,1,2023-08-09,1,29,228,2528,58,598,1,0
221,248,1,2025-09-20,1,18,135,1495,35,599,1,0
222,249,1,2025-03-02,1,25,194,2154,49,600,1,0
223,249,1,2025-04-03,1,25,194,2154,49,601,1,0
224,251,1,2023-07-28,1,17,130,1428,33,605,1,0
225,252,1,2025-03-13,1,13,97,1067,26,606,1,0
226,255,2,2022-09-25,1,9,65,703,17,616,1,0
227,256,1,2022-11-27,1,1,5,56,1,617,1,0
228,260,1,2025-12-24,1,11,82,905,21,627,1,0
229,261,1,2026-05-04,1,16,125,1381,32,629,1,0
230,262,1,2026-05-22,1,8,52,571,15,632,1,0
231,270,2,2024-06-25,1,31,241,2686,62,651,1,0
232,271,1,2025-11-07,1,25,194,2156,50,653,1,0
233,272,1,2025-06-16,1,11,82,900,21,655,1,0
234,273,1,2025-07-26,1,3,21,227,6,657,1,0
235,273,1,2025-08-19,1,3,21,227,6,656,1,0
236,277,1,2024-09-29,1,9,64,694,17,663,1,0
237,278,1,2023-10-19,1,25,197,2188,49,664,1,0
238,278,1,2023-09-29,1,25,197,2188,49,665,1,0
239,279,1,2022-10-27,1,16,118,1303,32,666,1,0
240,280,1,2024-11-08,1,12,84,914,23,667,1,0
241,280,1,2024-11-08,1,12,84,914,23,668,1,0
242,282,1,2026-06-19,1,15,112,1235,30,675,1,0
243,282,1,2026-05-03,1,15,112,1235,30,676,1,0
244,283,1,2026-06-13,1,30,235,2615,60,678,1,0
245,284,2,2024-11-07,1,30,237,2656,60,684,1,0
246,285,2,2022-10-21,1,12,90,994,24,685,1,0
247,286,1,2025-10-18,1,3,21,229,5,687,1,0
248,286,1,2025-11-29,1,3,21,229,5,688,1,0
249,290,1,2025-09-22,1,11,80,875,22,695,1,0
250,291,1,2025-03-20,1,31,240,2681,61,697,1,0
251,292,1,2026-05-19,1,29,228,2533,58,698,1,0
252,292,1,2026-06-07,1,29,228,2533,58,699,1,0
253,294,2,2022-05-27,1,12,86,943,24,703,1,0
254,295,2,2026-04-08,1,23,175,1915,45,705,1,0
255,297,1,2022-05-25,1,15,111,1223,29,707,1,0
256,299,1,2026-03-14,1,30,236,2639,59,714,1,0
