CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
13,300040028202300001,202300001,2023-07-26,307,28,2,3,5,19,1,8,2023-07-23 16:51:00,2023-07-25 08:51:00,2023-07-25 19:51:00,18.355491,78.187949,Complainant reported the use of forged documents by the accused.
14,300290227202200001,202200001,2022-09-20,2522,227,2,2,2,8,4,57,2022-09-17 11:02:00,2022-09-18 17:02:00,2022-09-20 19:02:00,17.770306,76.580522,Complainant reported being robbed of belongings by the accused.
15,800220169202400001,202400001,2024-10-03,1843,169,4,2,5,21,6,43,2024-09-30 08:49:00,2024-10-01 09:49:00,2024-10-03 22:49:00,13.805321,77.491882,Complainant reported an online fraud resulting in financial loss.
16,300130096202500001,202500001,2025-05-10,1061,96,2,3,3,12,1,26,2025-05-05 20:50:00,2025-05-07 18:50:00,2025-05-10 07:50:00,12.05335,77.014894,Complainant reported harassment related to dowry demands.
17,400030021202400001,202400001,2024-02-10,231,21,3,2,1,3,6,5,2024-02-06 02:36:00,2024-02-07 21:36:00,2024-02-09 16:36:00,14.512203,74.176081,Complainant reported a physical assault resulting in serious injury.
18,300030021202500001,202500001,2025-11-20,225,21,2,1,5,19,6,5,2025-11-14 12:29:00,2025-11-15 22:29:00,2025-11-18 22:29:00,14.686542,74.263511,Complainant reported the use of forged documents by the accused.
19,100290228202400001,202400001,2024-04-09,2531,228,1,2,5,21,3,57,2024-04-06 00:32:00,2024-04-07 19:32:00,2024-04-09 13:32:00,13.185589,74.751293,Complainant reported an online fraud resulting in financial loss.
20,300120089202500001,202500001,2025-05-24,976,89,2,3,1,2,6,24,2025-05-20 18:27:00,2025-05-22 09:27:00,2025-05-23 08:27:00,14.60138,74.594595,Complainant alleges the accused attacked the victim with intent to kill.
21,400280222202500001,202500001,2025-05-11,2471,222,3,2,2,10,6,56,2025-05-07 09:21:00,2025-05-09 09:21:00,2025-05-10 18:21:00,16.668237,75.483262,Complainant reported intentional damage to property by the accused.
22,100220169202200001,202200001,2022-10-21,1849,169,1,1,2,8,1,44,2022-10-20 14:08:00,2022-10-20 17:08:00,2022-10-21 15:08:00,17.450865,77.527577,Complainant reported being robbed of belongings by the accused.
23,300050035202500001,202500001,2025-06-26,389,35,2,1,1,4,6,9,2025-06-20 12:55:00,2025-06-21 10:55:00,2025-06-24 05:55:00,15.645358,74.956416,Complainant reported being physically assaulted by the accused.
24,100070046202500001,202500001,2025-06-03,493,46,1,1,2,8,3,13,2025-05-30 05:16:00,2025-05-31 07:16:00,2025-06-01 09:16:00,12.332914,75.45566,Complainant reported being robbed of belongings by the accused.
25,400150112202300001,202300001,2023-06-17,1232,112,3,1,2,7,3,30,2023-06-13 01:09:00,2023-06-13 15:09:00,2023-06-16 11:09:00,18.041294,74.835163,Complainant reported that the premises were broken into and valuables removed.
26,400050036202300001,202300001,2023-05-24,401,36,3,3,2,8,1,10,2023-05-23 20:23:00,2023-05-24 09:23:00,2023-05-24 16:23:00,18.002622,74.878687,Complainant reported being robbed of belongings by the accused.
27,100050032202400001,202400001,2024-12-08,341,32,1,3,4,15,4,10,2024-12-04 17:29:00,2024-12-06 15:29:00,2024-12-07 04:29:00,15.966913,77.209427,Complainant reported a violent disturbance involving a group at the location.
28,300240184202600001,202600001,2026-01-20,2021,184,2,1,5,21,4,48,2026-01-20 05:06:00,2026-01-20 13:06:00,2026-01-20 23:06:00,18.25942,74.636516,Complainant reported an online fraud resulting in financial loss.
29,300250192202500001,202500001,2025-05-15,2122,192,2,1,2,6,4,49,2025-05-11 07:14:00,2025-05-12 18:14:00,2025-05-15 04:14:00,12.712138,75.723225,Complainant reported the theft of personal property from the premises.
30,800110078202300001,202300001,2023-07-26,860,78,4,3,2,9,6,22,2023-07-23 13:40:00,2023-07-25 07:40:00,2023-07-26 09:40:00,18.043875,76.789797,Complainant reported that a vehicle was stolen from the parking area.
31,100050034202200001,202200001,2022-03-22,371,34,1,2,3,11,2,9,2022-03-19 18:20:00,2022-03-20 14:20:00,2022-03-22 17:20:00,14.564063,76.184726,Complainant reported repeated harassment and abuse within the household.
32,300080052202200001,202200001,2022-07-14,560,52,2,1,1,5,2,15,2022-07-10 23:18:00,2022-07-12 07:18:00,2022-07-12 21:18:00,14.132928,74.791442,Complainant reported that the victim was forcibly taken away by the accused.
33,800240188202600001,202600001,2026-04-27,2085,188,4,3,2,10,1,48,2026-04-22 23:08:00,2026-04-23 12:08:00,2026-04-25 01:08:00,12.82599,76.847318,Complainant reported intentional damage to property by the accused.
34,800190140202600001,202600001,2026-06-07,1527,140,4,2,1,5,5,38,2026-06-02 19:17:00,2026-06-04 07:17:00,2026-06-07 02:17:00,16.031476,76.411593,Complainant reported that the victim was forcibly taken away by the accused.
35,800010007202600001,202600001,2026-06-11,77,7,4,1,5,20,6,1,2026-06-06 01:03:00,2026-06-07 05:03:00,2026-06-09 07:03:00,16.343044,74.838063,Complainant reported misappropriation of entrusted property.
36,300010003202600001,202600001,2026-02-15,22,3,2,1,2,7,6,1,2026-02-09 03:43:00,2026-02-10 13:43:00,2026-02-13 06:43:00,18.201552,75.671974,Complainant reported that the premises were broken into and valuables removed.
37,800150114202300001,202300001,2023-10-09,1252,114,4,3,5,19,6,30,2023-10-05 22:19:00,2023-10-06 20:19:00,2023-10-09 11:19:00,16.594085,74.174863,Complainant reported the use of forged documents by the accused.
38,400220168202600001,202600001,2026-02-22,1834,168,3,2,3,13,1,44,2026-02-19 19:51:00,2026-02-21 03:51:00,2026-02-22 17:51:00,14.394484,75.191393,Complainant reported an act of sexual assault by the accused.
39,100250194202600001,202600001,2026-05-27,2141,194,1,2,3,11,3,49,2026-05-22 07:39:00,2026-05-23 21:39:00,2026-05-26 09:39:00,17.267171,77.445808,Complainant reported repeated harassment and abuse within the household.
40,100060041202400001,202400001,2024-12-21,448,41,1,1,5,21,4,11,2024-12-18 03:03:00,2024-12-18 17:03:00,2024-12-20 03:03:00,13.660509,78.46018,Complainant reported an online fraud resulting in financial loss.
41,100210159202500001,202500001,2025-07-22,1735,159,1,2,2,9,3,42,2025-07-19 09:34:00,2025-07-20 03:34:00,2025-07-21 20:34:00,15.661557,76.80352,Complainant reported that a vehicle was stolen from the parking area.
42,800080052202600001,202600001,2026-06-19,569,52,4,2,2,6,3,16,2026-06-14 17:46:00,2026-06-15 08:46:00,2026-06-17 04:46:00,13.782698,77.13798,Complainant reported the theft of personal property from the premises.
43,400210155202400001,202400001,2024-03-03,1688,155,3,3,4,15,6,41,2024-02-27 14:07:00,2024-02-28 12:07:00,2024-03-01 02:07:00,17.079288,76.669842,Complainant reported a violent disturbance involving a group at the location.
44,100270215202500001,202500001,2025-12-24,2390,215,1,1,3,11,1,54,2025-12-21 09:26:00,2025-12-22 05:26:00,2025-12-23 08:26:00,16.556782,76.271839,Complainant reported repeated harassment and abuse within the household.
45,400230172202200001,202200001,2022-10-03,1866,172,3,1,4,16,5,45,2022-09-30 07:53:00,2022-10-02 02:53:00,2022-10-03 21:53:00,12.247358,74.48243,Complainant reported an unauthorized gathering causing disturbance.
46,100190142202500001,202500001,2025-03-25,1560,142,1,1,2,9,4,38,2025-03-23 16:25:00,2025-03-25 01:25:00,2025-03-25 14:25:00,12.839131,75.07937,Complainant reported that a vehicle was stolen from the parking area.
47,800210159202300001,202300001,2023-03-07,1736,159,4,3,1,1,3,41,2023-03-06 21:25:00,2023-03-06 22:25:00,2023-03-07 13:25:00,15.514578,77.642692,Complainant reported the death of the victim under suspicious circumstances at the scene.
48,300130096202200001,202200001,2022-11-20,1051,96,2,1,5,20,6,26,2022-11-17 10:34:00,2022-11-18 06:34:00,2022-11-20 13:34:00,14.093683,78.400319,Complainant reported misappropriation of entrusted property.
49,100270215202400001,202400001,2024-11-24,2387,215,1,3,5,20,4,53,2024-11-20 06:21:00,2024-11-21 16:21:00,2024-11-23 06:21:00,17.232001,74.292842,Complainant reported misappropriation of entrusted property.
50,300280222202600001,202600001,2026-05-14,2461,222,2,3,4,17,3,55,2026-05-11 14:48:00,2026-05-12 07:48:00,2026-05-13 23:48:00,12.360824,77.281103,Complainant reported a disturbance affecting public order in the area.
51,300240187202500001,202500001,2025-08-20,2077,187,2,2,2,7,3,47,2025-08-19 00:53:00,2025-08-19 16:53:00,2025-08-20 04:53:00,16.478729,76.822693,Complainant reported that the premises were broken into and valuables removed.
52,100120091202200001,202200001,2022-02-01,1008,91,1,2,2,9,1,23,2022-01-29 22:44:00,2022-01-31 05:44:00,2022-02-01 15:44:00,15.442178,74.818025,Complainant reported that a vehicle was stolen from the parking area.
53,300090066202600001,202600001,2026-06-12,725,66,2,1,3,14,1,17,2026-06-09 01:02:00,2026-06-09 13:02:00,2026-06-11 04:02:00,15.175715,74.546475,Complainant reported being repeatedly followed and harassed by the accused.
54,400010007202500001,202500001,2025-05-06,76,7,3,1,1,1,1,2,2025-05-05 04:21:00,2025-05-06 16:21:00,2025-05-06 17:21:00,17.030004,75.072845,Complainant reported the death of the victim under suspicious circumstances at the scene.
55,100160119202400001,202400001,2024-06-06,1314,119,1,1,4,16,4,31,2024-06-05 07:26:00,2024-06-05 10:26:00,2024-06-06 04:26:00,16.765119,75.419111,Complainant reported an unauthorized gathering causing disturbance.
56,100090063202200001,202200001,2022-02-28,682,63,1,1,3,13,2,18,2022-02-24 18:42:00,2022-02-25 01:42:00,2022-02-26 17:42:00,15.553807,77.887171,Complainant reported an act of sexual assault by the accused.
57,800030020202300001,202300001,2023-02-14,219,20,4,3,2,10,5,5,2023-02-13 13:19:00,2023-02-13 15:19:00,2023-02-13 21:19:00,15.484708,77.367448,Complainant reported intentional damage to property by the accused.
58,100240189202300001,202300001,2023-04-24,2097,189,1,2,3,12,1,47,2023-04-22 00:03:00,2023-04-22 01:03:00,2023-04-22 03:03:00,15.129181,75.219001,Complainant reported harassment related to dowry demands.
59,100220169202400001,202400001,2024-06-06,1850,169,1,1,3,13,5,44,2024-06-02 17:53:00,2024-06-02 22:53:00,2024-06-05 20:53:00,14.864197,75.261059,Complainant reported an act of sexual assault by the accused.
60,300110081202400001,202400001,2024-12-09,888,81,2,1,1,1,6,22,2024-12-06 00:04:00,2024-12-06 23:04:00,2024-12-08 01:04:00,16.785946,75.349803,Complainant reported the death of the victim under suspicious circumstances at the scene.
61,100010004202200001,202200001,2022-09-14,42,4,1,2,4,17,5,1,2022-09-12 08:44:00,2022-09-13 04:44:00,2022-09-13 21:44:00,13.14633,78.207342,Complainant reported a disturbance affecting public order in the area.
62,100170128202300001,202300001,2023-04-17,1416,128,1,3,1,3,6,33,2023-04-13 04:36:00,2023-04-15 03:36:00,2023-04-17 09:36:00,13.985763,74.662921,Complainant reported a physical assault resulting in serious injury.
63,100100074202400001,202400001,2024-09-17,813,74,1,1,3,11,1,19,2024-09-12 23:47:00,2024-09-14 15:47:00,2024-09-15 17:47:00,13.702068,77.904049,Complainant reported repeated harassment and abuse within the household.
64,800090061202400001,202400001,2024-11-19,661,61,4,2,5,18,5,18,2024-11-15 09:30:00,2024-11-16 14:30:00,2024-11-17 00:30:00,12.685577,74.370403,Complainant reported being deceived into a financial loss by the accused.
65,300030020202600001,202600001,2026-02-09,211,20,2,3,5,18,1,6,2026-02-07 14:15:00,2026-02-07 14:15:00,2026-02-09 20:15:00,13.685716,75.618134,Complainant reported being deceived into a financial loss by the accused.
66,100090061202200001,202200001,2022-06-13,654,61,1,3,1,4,4,17,2022-06-09 19:47:00,2022-06-11 04:47:00,2022-06-13 10:47:00,17.20181,75.178729,Complainant reported being physically assaulted by the accused.
67,100250199202400001,202400001,2024-12-21,2213,199,1,2,5,21,2,49,2024-12-16 22:39:00,2024-12-18 22:39:00,2024-12-19 04:39:00,15.049822,74.54335,Complainant reported an online fraud resulting in financial loss.
68,400220170202600001,202600001,2026-02-22,1863,170,3,2,4,16,1,44,2026-02-20 15:21:00,2026-02-21 05:21:00,2026-02-21 10:21:00,17.572485,76.618462,Complainant reported an unauthorized gathering causing disturbance.
69,800130098202500001,202500001,2025-01-14,1081,98,4,2,2,9,6,26,2025-01-11 12:51:00,2025-01-12 16:51:00,2025-01-14 13:51:00,14.571128,77.205421,Complainant reported that a vehicle was stolen from the parking area.
70,300060040202600001,202600001,2026-03-17,439,40,2,1,5,19,3,11,2026-03-16 16:04:00,2026-03-17 06:04:00,2026-03-17 09:04:00,13.649709,74.582116,Complainant reported the use of forged documents by the accused.
71,100200150202200001,202200001,2022-03-06,1632,150,1,1,1,3,3,40,2022-03-02 08:58:00,2022-03-03 15:58:00,2022-03-05 20:58:00,16.82721,74.799606,Complainant reported a physical assault resulting in serious injury.
72,300090064202500001,202500001,2025-02-24,695,64,2,2,1,2,1,18,2025-02-22 00:29:00,2025-02-22 13:29:00,2025-02-22 20:29:00,14.754148,75.727442,Complainant alleges the accused attacked the victim with intent to kill.
73,800170129202200001,202200001,2022-08-19,1419,129,4,2,3,14,2,34,2022-08-17 20:57:00,2022-08-18 20:57:00,2022-08-19 22:57:00,14.851997,74.40419,Complainant reported being repeatedly followed and harassed by the accused.
74,300090061202500001,202500001,2025-02-16,657,61,2,1,4,16,5,17,2025-02-12 10:38:00,2025-02-13 14:38:00,2025-02-15 20:38:00,16.880279,75.514218,Complainant reported an unauthorized gathering causing disturbance.
75,100210155202500001,202500001,2025-08-10,1690,155,1,2,1,3,3,41,2025-08-07 19:07:00,2025-08-09 02:07:00,2025-08-09 15:07:00,12.717795,77.60747,Complainant reported a physical assault resulting in serious injury.
76,800260202202200001,202200001,2022-01-18,2241,202,4,2,1,2,6,51,2022-01-17 09:37:00,2022-01-17 21:37:00,2022-01-18 23:37:00,14.410228,76.164771,Complainant alleges the accused attacked the victim with intent to kill.
77,800080052202300001,202300001,2023-10-24,566,52,4,3,2,6,1,15,2023-10-21 03:52:00,2023-10-22 03:52:00,2023-10-23 07:52:00,16.035078,75.443093,Complainant reported the theft of personal property from the premises.
78,400060039202400001,202400001,2024-05-13,425,39,3,3,2,8,1,12,2024-05-12 17:36:00,2024-05-12 19:36:00,2024-05-13 23:36:00,17.711515,75.668232,Complainant reported being robbed of belongings by the accused.
79,300260206202400001,202400001,2024-05-09,2295,206,2,1,2,8,2,51,2024-05-06 12:58:00,2024-05-06 22:58:00,2024-05-09 04:58:00,11.649249,76.518316,Complainant reported being robbed of belongings by the accused.
80,100190141202500001,202500001,2025-08-19,1552,141,1,1,5,19,2,38,2025-08-17 02:44:00,2025-08-17 16:44:00,2025-08-18 04:44:00,14.132164,77.351462,Complainant reported the use of forged documents by the accused.
81,400280220202300001,202300001,2023-02-23,2441,220,3,2,1,4,2,55,2023-02-21 18:40:00,2023-02-22 00:40:00,2023-02-23 14:40:00,16.130095,74.322162,Complainant reported being physically assaulted by the accused.
82,300120085202600001,202600001,2026-06-23,931,85,2,2,3,11,6,23,2026-06-20 09:27:00,2026-06-21 02:27:00,2026-06-21 09:27:00,13.868096,76.365553,Complainant reported repeated harassment and abuse within the household.
83,800210157202300001,202300001,2023-10-29,1709,157,4,3,2,6,4,42,2023-10-29 08:56:00,2023-10-29 19:56:00,2023-10-29 20:56:00,17.387355,74.862872,Complainant reported the theft of personal property from the premises.
84,300030021202300001,202300001,2023-03-26,224,21,2,3,5,18,2,6,2023-03-24 09:53:00,2023-03-25 14:53:00,2023-03-26 01:53:00,18.057536,75.099868,Complainant reported being deceived into a financial loss by the accused.
85,300150116202500001,202500001,2025-03-04,1287,116,2,1,1,4,2,29,2025-02-28 00:41:00,2025-03-01 15:41:00,2025-03-03 00:41:00,16.445349,78.442489,Complainant reported being physically assaulted by the accused.
86,400260202202500001,202500001,2025-01-15,2244,202,3,3,1,4,5,52,2025-01-11 02:53:00,2025-01-12 09:53:00,2025-01-15 09:53:00,12.772562,77.237999,Complainant reported being physically assaulted by the accused.
87,800120087202400001,202400001,2024-12-22,956,87,4,3,5,18,1,23,2024-12-18 14:11:00,2024-12-19 02:11:00,2024-12-21 20:11:00,16.590807,75.297992,Complainant reported being deceived into a financial loss by the accused.
88,800090062202500001,202500001,2025-12-03,670,62,4,1,3,13,5,17,2025-11-30 11:56:00,2025-12-01 13:56:00,2025-12-02 21:56:00,17.373742,74.691181,Complainant reported an act of sexual assault by the accused.
89,100230179202500001,202500001,2025-08-11,1976,179,1,1,2,10,3,46,2025-08-08 01:21:00,2025-08-08 03:21:00,2025-08-09 08:21:00,13.286255,75.301541,Complainant reported intentional damage to property by the accused.
90,400150114202600001,202600001,2026-01-17,1265,114,3,3,2,7,3,30,2026-01-12 12:30:00,2026-01-14 12:30:00,2026-01-15 14:30:00,14.420028,75.47106,Complainant reported that the premises were broken into and valuables removed.
91,100010009202500001,202500001,2025-03-06,98,9,1,3,5,19,2,1,2025-03-03 17:09:00,2025-03-04 19:09:00,2025-03-06 12:09:00,16.853782,75.150212,Complainant reported the use of forged documents by the accused.
92,400150111202400001,202400001,2024-05-03,1220,111,3,3,5,20,2,30,2024-04-28 17:58:00,2024-04-30 01:58:00,2024-05-01 12:58:00,16.947178,77.752754,Complainant reported misappropriation of entrusted property.
93,800040028202500001,202500001,2025-01-29,308,28,4,2,5,21,1,7,2025-01-25 06:01:00,2025-01-26 14:01:00,2025-01-29 11:01:00,15.119553,78.142144,Complainant reported an online fraud resulting in financial loss.
94,300300234202300001,202300001,2023-01-10,2610,234,2,2,4,16,4,59,2023-01-08 17:02:00,2023-01-10 02:02:00,2023-01-10 19:02:00,13.232733,74.640211,Complainant reported an unauthorized gathering causing disturbance.
95,300010011202200001,202200001,2022-04-09,125,11,2,2,4,15,2,1,2022-04-04 17:58:00,2022-04-05 10:58:00,2022-04-08 10:58:00,14.35447,77.773631,Complainant reported a violent disturbance involving a group at the location.
96,800080058202300001,202300001,2023-05-03,631,58,4,1,3,14,2,16,2023-04-29 13:02:00,2023-04-30 13:02:00,2023-05-02 16:02:00,15.709369,76.912182,Complainant reported being repeatedly followed and harassed by the accused.
97,300200147202500001,202500001,2025-07-29,1601,147,2,3,3,11,6,39,2025-07-24 17:32:00,2025-07-25 22:32:00,2025-07-28 13:32:00,15.754222,75.77476,Complainant reported repeated harassment and abuse within the household.
98,400300237202200001,202200001,2022-05-28,2644,237,3,3,5,21,2,59,2022-05-26 23:59:00,2022-05-28 11:59:00,2022-05-28 20:59:00,13.643529,74.175072,Complainant reported an online fraud resulting in financial loss.
99,400140106202300001,202300001,2023-10-22,1188,106,3,3,5,18,4,27,2023-10-19 17:58:00,2023-10-19 19:58:00,2023-10-21 18:58:00,15.230847,78.05706,Complainant reported being deceived into a financial loss by the accused.
100,400030021202600001,202600001,2026-01-23,221,21,3,3,5,20,5,5,2026-01-19 18:12:00,2026-01-21 03:12:00,2026-01-23 16:12:00,13.027777,74.281417,Complainant reported misappropriation of entrusted property.
101,100160118202300001,202300001,2023-10-06,1303,118,1,3,4,16,2,32,2023-10-03 18:22:00,2023-10-03 23:22:00,2023-10-05 09:22:00,14.207981,78.472202,Complainant reported an unauthorized gathering causing disturbance.
102,300010005202300001,202300001,2023-10-30,56,5,2,3,1,3,1,1,2023-10-29 12:25:00,2023-10-29 22:25:00,2023-10-30 03:25:00,15.093442,78.219023,Complainant reported a physical assault resulting in serious injury.
103,100020017202200001,202200001,2022-10-08,189,17,1,3,5,20,5,3,2022-10-04 23:52:00,2022-10-06 19:52:00,2022-10-08 07:52:00,12.136253,74.998615,Complainant reported misappropriation of entrusted property.
104,800050035202200001,202200001,2022-11-18,384,35,4,2,1,3,4,9,2022-11-13 18:21:00,2022-11-15 16:21:00,2022-11-16 23:21:00,13.451635,78.043797,Complainant reported a physical assault resulting in serious injury.
105,800130095202500001,202500001,2025-05-05,1044,95,4,1,2,8,4,25,2025-05-03 13:53:00,2025-05-03 13:53:00,2025-05-05 12:53:00,12.479007,76.489058,Complainant reported being robbed of belongings by the accused.
106,100130095202500001,202500001,2025-06-05,1039,95,1,2,1,5,3,26,2025-06-01 21:20:00,2025-06-02 13:20:00,2025-06-03 23:20:00,15.615644,74.71678,Complainant reported that the victim was forcibly taken away by the accused.
107,800100075202300001,202300001,2023-07-03,833,75,4,1,3,13,2,19,2023-06-30 02:23:00,2023-07-01 10:23:00,2023-07-03 08:23:00,12.082843,78.397018,Complainant reported an act of sexual assault by the accused.
108,800120087202500001,202500001,2025-03-10,951,87,4,1,5,19,3,24,2025-03-05 18:59:00,2025-03-07 17:59:00,2025-03-08 03:59:00,17.94036,76.967513,Complainant reported the use of forged documents by the accused.
109,300280221202600001,202600001,2026-02-21,2452,221,2,3,1,1,1,56,2026-02-17 05:01:00,2026-02-18 19:01:00,2026-02-20 17:01:00,14.924309,75.076562,Complainant reported the death of the victim under suspicious circumstances at the scene.
110,100080058202300001,202300001,2023-01-13,631,58,1,1,1,5,6,15,2023-01-12 18:06:00,2023-01-13 10:06:00,2023-01-13 10:06:00,14.478303,74.950045,Complainant reported that the victim was forcibly taken away by the accused.
111,400040025202300001,202300001,2023-04-08,264,25,3,1,2,8,6,8,2023-04-05 13:40:00,2023-04-07 11:40:00,2023-04-08 06:40:00,14.950789,76.203477,Complainant reported being robbed of belongings by the accused.
112,300220167202300001,202300001,2023-07-13,1826,167,2,2,3,14,4,44,2023-07-10 18:59:00,2023-07-10 18:59:00,2023-07-13 01:59:00,11.693795,74.280044,Complainant reported being repeatedly followed and harassed by the accused.
113,800240186202600001,202600001,2026-03-24,2045,186,4,3,1,2,6,48,2026-03-22 10:00:00,2026-03-23 04:00:00,2026-03-24 06:00:00,17.200113,77.587849,Complainant alleges the accused attacked the victim with intent to kill.
114,300150113202400001,202400001,2024-09-14,1241,113,2,3,5,19,6,29,2024-09-11 09:11:00,2024-09-13 01:11:00,2024-09-13 21:11:00,14.304303,76.174928,Complainant reported the use of forged documents by the accused.
115,400200149202500001,202500001,2025-11-20,1621,149,3,2,4,17,6,39,2025-11-16 08:36:00,2025-11-17 08:36:00,2025-11-18 08:36:00,15.282721,78.469793,Complainant reported a disturbance affecting public order in the area.
116,300120088202400001,202400001,2024-02-10,964,88,2,2,2,6,3,23,2024-02-05 16:37:00,2024-02-07 07:37:00,2024-02-09 19:37:00,11.63358,77.70754,Complainant reported the theft of personal property from the premises.
117,800030021202500001,202500001,2025-11-06,225,21,4,1,5,21,5,5,2025-11-02 15:55:00,2025-11-04 03:55:00,2025-11-06 17:55:00,17.316758,75.614859,Complainant reported an online fraud resulting in financial loss.
118,300090063202600001,202600001,2026-02-07,679,63,2,2,1,3,5,17,2026-02-05 10:33:00,2026-02-06 03:33:00,2026-02-06 05:33:00,12.900227,75.504805,Complainant reported a physical assault resulting in serious injury.
119,300040028202400001,202400001,2024-10-10,312,28,2,2,2,6,1,7,2024-10-07 12:45:00,2024-10-09 03:45:00,2024-10-10 14:45:00,14.722877,77.873896,Complainant reported the theft of personal property from the premises.
120,400290230202600001,202600001,2026-01-08,2564,230,3,3,3,14,5,58,2026-01-06 13:59:00,2026-01-06 22:59:00,2026-01-08 04:59:00,14.729144,74.749853,Complainant reported being repeatedly followed and harassed by the accused.
121,400150113202200001,202200001,2022-10-09,1246,113,3,3,2,7,5,30,2022-10-06 17:39:00,2022-10-08 12:39:00,2022-10-08 17:39:00,16.692839,76.18246,Complainant reported that the premises were broken into and valuables removed.
122,100060038202300001,202300001,2023-10-25,407,38,1,3,5,18,1,12,2023-10-18 20:50:00,2023-10-20 06:50:00,2023-10-23 00:50:00,14.231373,77.050485,Complainant reported being deceived into a financial loss by the accused.
123,400090066202300001,202300001,2023-06-15,723,66,3,2,5,20,1,18,2023-06-11 01:26:00,2023-06-12 08:26:00,2023-06-14 01:26:00,15.075021,75.961946,Complainant reported misappropriation of entrusted property.
124,400170128202200001,202200001,2022-12-03,1405,128,3,2,1,3,4,33,2022-11-30 22:06:00,2022-12-02 22:06:00,2022-12-03 17:06:00,18.248883,77.669755,Complainant reported a physical assault resulting in serious injury.
125,100250197202300001,202300001,2023-11-15,2190,197,1,2,1,3,2,50,2023-11-10 10:30:00,2023-11-10 23:30:00,2023-11-13 14:30:00,16.100955,78.008718,Complainant reported a physical assault resulting in serious injury.
126,800090065202400001,202400001,2024-06-02,703,65,4,2,1,1,2,18,2024-05-29 12:54:00,2024-05-30 18:54:00,2024-06-01 02:54:00,12.801465,74.650493,Complainant reported the death of the victim under suspicious circumstances at the scene.
127,400010004202200001,202200001,2022-03-25,34,4,3,1,5,21,2,2,2022-03-19 13:54:00,2022-03-21 05:54:00,2022-03-23 01:54:00,11.801077,77.367041,Complainant reported an online fraud resulting in financial loss.
128,100050031202500001,202500001,2025-08-10,335,31,1,1,1,3,6,10,2025-08-05 17:14:00,2025-08-06 19:14:00,2025-08-09 09:14:00,15.796939,74.172654,Complainant reported a physical assault resulting in serious injury.
